DATA_OBITO,OUTRAS,COVID - AL,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,37,0,0,2,4,5,0
2018-01-02,20,0,0,2,5,1,0
2018-01-03,26,0,0,3,2,7,0
2018-01-04,24,0,1,5,3,2,0
2018-01-05,19,0,0,3,8,2,0
2018-01-06,17,0,0,2,4,2,0
2018-01-07,23,0,1,5,3,3,0
2018-01-08,17,0,1,1,6,2,0
2018-01-09,14,0,0,3,3,5,0
2018-01-10,19,0,0,4,2,3,0
2018-01-11,17,0,0,2,7,3,0
2018-01-12,26,0,0,2,3,5,0
2018-01-13,23,0,0,2,6,8,0
2018-01-14,23,0,0,3,5,3,0
2018-01-15,13,0,0,7,3,5,0
2018-01-16,17,0,0,4,2,4,0
2018-01-17,17,0,0,2,5,3,0
2018-01-18,9,0,0,3,5,5,0
2018-01-19,20,0,0,2,3,5,0
2018-01-20,23,0,0,2,7,5,0
2018-01-21,26,0,0,2,5,8,0
2018-01-22,25,0,0,0,7,1,0
2018-01-23,14,0,0,5,8,4,0
2018-01-24,17,0,0,3,2,6,0
2018-01-25,13,0,0,1,4,5,0
2018-01-26,11,0,0,1,4,3,0
2018-01-27,13,0,0,2,3,1,0
2018-01-28,26,0,0,2,5,5,0
2018-01-29,19,0,0,4,5,5,0
2018-01-30,19,0,0,3,5,6,0
2018-01-31,17,0,0,3,2,4,0
2018-02-01,18,0,0,4,6,6,0
2018-02-02,28,0,0,4,0,0,0
2018-02-03,22,0,0,1,2,3,0
2018-02-04,20,0,0,3,2,7,0
2018-02-05,21,0,1,0,6,3,0
2018-02-06,31,0,0,4,12,5,0
2018-02-07,16,0,0,1,7,6,0
2018-02-08,22,0,0,4,2,3,0
2018-02-09,27,0,0,3,3,4,0
2018-02-10,26,0,0,5,5,4,0
2018-02-11,27,0,0,4,1,6,0
2018-02-12,21,0,0,2,3,1,0
2018-02-13,16,0,0,2,2,1,0
2018-02-14,26,0,0,2,2,3,0
2018-02-15,21,0,0,5,8,4,0
2018-02-16,17,0,0,2,6,7,0
2018-02-17,21,0,1,1,4,6,0
2018-02-18,20,0,0,3,2,5,0
2018-02-19,23,0,0,1,6,7,0
2018-02-20,24,0,0,5,9,5,0
2018-02-21,11,0,0,7,11,5,0
2018-02-22,19,0,0,1,6,7,0
2018-02-23,16,0,0,2,5,5,0
2018-02-24,17,0,0,3,8,5,0
2018-02-25,14,0,1,0,5,9,0
2018-02-26,26,0,1,2,2,5,0
2018-02-27,19,0,0,4,7,3,0
2018-02-28,20,0,0,7,3,5,0
2018-03-01,23,0,0,8,5,1,0
2018-03-02,18,0,0,4,7,8,0
2018-03-03,26,0,0,1,8,2,0
2018-03-04,23,0,0,3,5,3,0
2018-03-05,29,0,0,3,2,5,0
2018-03-06,23,0,0,3,2,6,0
2018-03-07,24,0,0,7,6,7,0
2018-03-08,27,0,0,2,4,6,0
2018-03-09,20,0,0,3,5,5,0
2018-03-10,29,0,0,4,5,6,0
2018-03-11,23,0,0,7,8,6,0
2018-03-12,29,0,0,5,4,4,0
2018-03-13,13,0,0,6,10,5,0
2018-03-14,28,0,0,3,5,7,0
2018-03-15,26,0,0,5,5,2,0
2018-03-16,26,0,0,0,5,4,0
2018-03-17,13,0,1,3,2,1,0
2018-03-18,18,0,0,1,4,4,0
2018-03-19,26,0,0,3,5,1,0
2018-03-20,19,0,0,6,9,3,0
2018-03-21,12,0,0,0,4,4,0
2018-03-22,26,0,0,4,3,8,0
2018-03-23,35,0,0,2,4,1,0
2018-03-24,21,0,0,4,3,3,0
2018-03-25,34,0,0,6,3,2,0
2018-03-26,31,0,1,5,5,9,0
2018-03-27,23,0,1,2,8,4,0
2018-03-28,23,0,0,6,3,8,0
2018-03-29,18,0,0,3,6,6,0
2018-03-30,27,0,0,1,6,5,0
2018-03-31,19,0,0,4,0,5,0
2018-04-01,26,0,0,2,4,9,0
2018-04-02,22,0,0,4,2,4,0
2018-04-03,17,0,0,10,1,4,0
2018-04-04,19,0,1,3,9,9,0
2018-04-05,27,0,0,6,3,1,0
2018-04-06,21,0,0,5,3,6,0
2018-04-07,26,0,1,1,6,9,0
2018-04-08,29,0,0,4,8,6,0
2018-04-09,24,0,0,5,7,5,0
2018-04-10,23,0,0,7,5,6,0
2018-04-11,23,0,1,6,7,3,0
2018-04-12,19,0,0,4,8,7,0
2018-04-13,18,0,0,4,4,3,0
2018-04-14,20,0,0,2,3,6,0
2018-04-15,13,0,0,2,2,4,0
2018-04-16,22,0,0,2,6,4,0
2018-04-17,23,0,0,6,1,3,0
2018-04-18,18,0,0,6,9,6,0
2018-04-19,25,0,0,5,7,5,0
2018-04-20,21,0,1,5,2,2,0
2018-04-21,40,0,0,4,4,6,0
2018-04-22,21,0,0,6,7,5,0
2018-04-23,21,0,0,2,10,3,0
2018-04-24,19,0,1,6,4,7,0
2018-04-25,23,0,0,7,9,9,0
2018-04-26,19,0,0,3,10,10,0
2018-04-27,26,0,0,1,9,5,0
2018-04-28,26,0,0,6,7,4,0
2018-04-29,25,0,0,5,6,6,0
2018-04-30,17,0,2,2,3,1,0
2018-05-01,26,0,0,5,7,7,0
2018-05-02,24,0,0,6,8,5,0
2018-05-03,13,0,0,0,2,9,0
2018-05-04,27,0,0,2,4,5,0
2018-05-05,20,0,0,4,1,3,0
2018-05-06,16,0,0,6,10,4,0
2018-05-07,28,0,0,7,9,5,0
2018-05-08,18,0,0,5,5,1,0
2018-05-09,22,0,0,4,11,7,1
2018-05-10,15,0,0,5,9,4,0
2018-05-11,25,0,0,6,6,5,0
2018-05-12,21,0,0,3,7,8,0
2018-05-13,33,0,1,4,12,5,0
2018-05-14,32,0,0,5,8,9,0
2018-05-15,23,0,0,6,1,3,0
2018-05-16,24,0,0,5,15,8,0
2018-05-17,27,0,0,5,11,7,0
2018-05-18,40,0,0,5,7,4,0
2018-05-19,34,0,0,2,4,0,0
2018-05-20,26,0,1,7,2,6,0
2018-05-21,15,0,0,6,9,5,0
2018-05-22,22,0,0,4,6,5,0
2018-05-23,23,0,0,9,5,6,0
2018-05-24,22,0,0,3,4,4,0
2018-05-25,27,0,0,5,6,7,0
2018-05-26,25,0,0,2,6,9,0
2018-05-27,26,0,0,2,7,3,0
2018-05-28,32,0,0,4,12,2,1
2018-05-29,20,0,0,4,7,8,0
2018-05-30,27,0,1,4,10,4,0
2018-05-31,16,0,0,3,13,3,0
2018-06-01,28,0,1,5,5,3,0
2018-06-02,30,0,0,4,10,6,0
2018-06-03,30,0,0,5,6,5,0
2018-06-04,24,0,0,3,10,6,0
2018-06-05,20,0,0,6,5,6,0
2018-06-06,25,0,1,3,4,6,0
2018-06-07,24,0,0,5,8,6,0
2018-06-08,31,0,0,3,13,4,0
2018-06-09,37,0,0,2,5,3,1
2018-06-10,34,0,0,5,6,6,0
2018-06-11,24,0,0,3,7,6,0
2018-06-12,30,0,0,4,7,7,0
2018-06-13,24,0,0,3,6,4,0
2018-06-14,30,0,0,6,8,4,0
2018-06-15,23,0,0,6,3,8,0
2018-06-16,25,0,0,2,10,5,0
2018-06-17,21,0,0,2,7,2,0
2018-06-18,26,0,0,6,7,2,0
2018-06-19,31,0,0,4,11,4,0
2018-06-20,21,0,0,2,2,3,0
2018-06-21,27,0,0,3,5,4,0
2018-06-22,24,0,0,3,5,3,0
2018-06-23,23,0,0,9,5,4,0
2018-06-24,27,0,0,3,5,6,0
2018-06-25,33,0,0,2,6,4,0
2018-06-26,31,0,0,5,5,5,0
2018-06-27,14,0,1,3,11,3,0
2018-06-28,20,0,0,4,5,2,0
2018-06-29,32,0,0,3,8,3,0
2018-06-30,17,0,0,4,6,5,0
2018-07-01,29,0,0,5,8,5,0
2018-07-02,42,0,0,4,10,7,0
2018-07-03,27,0,0,7,6,8,0
2018-07-04,25,0,1,8,6,3,0
2018-07-05,29,0,0,6,3,6,0
2018-07-06,23,0,1,1,4,3,0
2018-07-07,41,0,0,2,5,2,0
2018-07-08,46,0,0,2,8,2,1
2018-07-09,39,0,0,2,4,2,0
2018-07-10,40,0,0,5,5,7,0
2018-07-11,27,0,0,7,11,7,0
2018-07-12,25,0,0,6,9,4,0
2018-07-13,20,0,0,4,7,4,0
2018-07-14,25,0,0,5,9,5,0
2018-07-15,31,0,0,4,5,6,0
2018-07-16,27,0,0,2,4,8,0
2018-07-17,21,0,0,6,8,4,1
2018-07-18,28,0,1,7,4,6,0
2018-07-19,25,0,0,7,8,4,0
2018-07-20,31,0,0,3,10,4,0
2018-07-21,23,0,0,2,7,5,0
2018-07-22,25,0,0,2,10,5,0
2018-07-23,21,0,0,5,4,6,0
2018-07-24,32,0,0,4,4,7,0
2018-07-25,33,0,0,4,9,5,1
2018-07-26,27,0,0,8,4,1,0
2018-07-27,26,0,0,3,9,5,0
2018-07-28,36,0,0,5,8,3,0
2018-07-29,40,0,0,3,4,4,0
2018-07-30,26,0,0,5,5,4,0
2018-07-31,22,0,1,3,8,5,0
2018-08-01,25,0,0,9,8,3,0
2018-08-02,34,0,0,3,3,12,0
2018-08-03,18,0,0,7,8,5,0
2018-08-04,19,0,0,4,7,4,0
2018-08-05,25,0,0,5,7,13,0
2018-08-06,22,0,0,6,8,8,0
2018-08-07,31,0,0,5,7,5,0
2018-08-08,25,0,0,5,3,8,0
2018-08-09,23,0,0,4,9,1,0
2018-08-10,20,0,0,1,12,1,0
2018-08-11,19,0,0,7,3,3,0
2018-08-12,23,0,0,0,4,7,0
2018-08-13,24,0,0,4,6,3,0
2018-08-14,28,0,0,7,3,3,0
2018-08-15,32,0,0,6,5,3,0
2018-08-16,22,0,0,5,8,6,0
2018-08-17,23,0,0,6,10,9,0
2018-08-18,25,0,0,5,5,5,0
2018-08-19,18,0,0,4,7,3,0
2018-08-20,29,0,0,5,7,8,0
2018-08-21,26,0,1,5,11,4,0
2018-08-22,22,0,0,8,6,9,0
2018-08-23,23,0,0,3,8,4,0
2018-08-24,24,0,0,3,8,2,0
2018-08-25,30,0,1,2,4,2,0
2018-08-26,37,0,0,4,5,5,1
2018-08-27,32,0,0,5,7,3,0
2018-08-28,35,0,0,1,8,8,0
2018-08-29,25,0,0,5,5,10,0
2018-08-30,21,0,1,1,3,5,0
2018-08-31,18,0,1,6,4,7,0
2018-09-01,27,0,0,4,7,4,0
2018-09-02,22,0,1,4,7,6,0
2018-09-03,31,0,0,3,5,3,0
2018-09-04,22,0,0,10,5,4,0
2018-09-05,27,0,0,4,10,8,0
2018-09-06,37,0,0,4,8,5,0
2018-09-07,29,0,0,2,8,6,0
2018-09-08,24,0,0,5,5,8,0
2018-09-09,36,0,0,4,6,5,0
2018-09-10,16,0,0,3,4,8,0
2018-09-11,27,0,0,5,4,8,0
2018-09-12,16,0,0,5,9,5,0
2018-09-13,33,0,0,3,6,6,0
2018-09-14,26,0,0,3,8,4,0
2018-09-15,31,0,0,2,3,5,0
2018-09-16,35,0,0,4,5,3,0
2018-09-17,24,0,0,4,6,5,0
2018-09-18,24,0,0,2,5,4,0
2018-09-19,30,0,1,5,5,9,0
2018-09-20,21,0,0,3,7,5,0
2018-09-21,22,0,0,2,7,7,0
2018-09-22,28,0,0,1,14,8,0
2018-09-23,17,0,0,1,5,7,0
2018-09-24,28,0,0,6,8,8,0
2018-09-25,25,0,0,6,7,5,0
2018-09-26,22,0,0,6,5,4,0
2018-09-27,30,0,0,3,12,4,0
2018-09-28,29,0,2,2,5,4,0
2018-09-29,11,0,0,2,6,1,0
2018-09-30,24,0,0,2,7,2,0
2018-10-01,18,0,0,3,10,4,0
2018-10-02,24,0,1,1,4,2,0
2018-10-03,20,0,0,2,7,7,0
2018-10-04,23,0,0,2,7,4,0
2018-10-05,23,0,0,7,5,8,0
2018-10-06,34,0,0,4,9,8,0
2018-10-07,25,0,0,2,5,8,0
2018-10-08,27,0,0,1,4,3,0
2018-10-09,20,0,0,8,3,8,0
2018-10-10,15,0,0,8,2,6,0
2018-10-11,25,0,0,3,5,3,0
2018-10-12,25,0,0,2,3,1,0
2018-10-13,28,0,0,5,9,2,0
2018-10-14,29,0,0,1,4,4,0
2018-10-15,22,0,0,5,7,4,0
