DATA_OBITO,OUTRAS,COVID - AM,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,16,0,0,0,1,2,0
2018-01-02,11,0,0,2,1,3,0
2018-01-03,6,0,0,1,2,3,0
2018-01-04,9,0,0,3,2,4,0
2018-01-05,10,0,0,2,5,4,0
2018-01-06,24,0,0,2,7,11,0
2018-01-07,5,0,1,4,2,3,0
2018-01-08,10,0,0,0,1,4,0
2018-01-09,8,0,0,0,2,3,0
2018-01-10,4,0,0,1,2,1,0
2018-01-11,6,0,0,2,2,1,0
2018-01-12,16,0,0,3,2,6,0
2018-01-13,21,0,0,2,4,4,0
2018-01-14,14,0,2,1,8,2,0
2018-01-15,14,0,0,1,1,2,0
2018-01-16,7,0,0,0,1,4,0
2018-01-17,7,0,0,0,2,3,0
2018-01-18,13,0,0,1,1,2,0
2018-01-19,7,0,0,4,4,7,0
2018-01-20,23,0,0,1,6,5,0
2018-01-21,16,0,0,0,2,4,0
2018-01-22,11,0,0,2,2,0,0
2018-01-23,8,0,0,0,3,4,0
2018-01-24,4,0,0,0,2,4,0
2018-01-25,10,0,0,0,3,1,0
2018-01-26,16,0,0,2,3,5,0
2018-01-27,14,0,0,1,5,4,0
2018-01-28,17,0,0,1,5,6,0
2018-01-29,10,0,0,1,2,3,0
2018-01-30,8,0,0,0,1,1,0
2018-01-31,6,0,1,0,7,1,0
2018-02-01,11,0,0,0,1,5,0
2018-02-02,21,0,0,4,7,7,0
2018-02-03,20,0,0,2,8,4,0
2018-02-04,6,0,0,0,6,2,0
2018-02-05,9,0,0,1,2,1,0
2018-02-06,8,0,1,1,3,1,0
2018-02-07,8,0,0,0,3,1,0
2018-02-08,19,0,1,0,5,2,0
2018-02-09,11,0,0,0,2,5,0
2018-02-10,17,0,1,3,4,10,0
2018-02-11,17,0,0,2,5,4,0
2018-02-12,14,0,0,0,7,4,0
2018-02-13,19,0,0,1,8,1,0
2018-02-14,18,0,0,0,6,2,0
2018-02-15,7,0,0,1,1,0,0
2018-02-16,15,0,0,3,3,0,0
2018-02-17,18,0,0,3,3,3,0
2018-02-18,11,0,2,3,4,8,0
2018-02-19,8,0,0,3,2,4,0
2018-02-20,11,0,1,2,3,3,0
2018-02-21,9,0,0,0,6,2,0
2018-02-22,8,0,1,0,1,0,0
2018-02-23,15,0,0,2,3,2,0
2018-02-24,20,0,0,1,5,6,1
2018-02-25,21,0,2,1,6,4,0
2018-02-26,7,0,0,2,2,2,0
2018-02-27,12,0,0,1,2,5,0
2018-02-28,7,0,0,0,2,0,0
2018-03-01,6,0,0,0,2,0,0
2018-03-02,10,0,0,3,3,2,0
2018-03-03,17,0,2,2,7,1,0
2018-03-04,9,0,0,1,6,1,0
2018-03-05,9,0,0,2,1,2,0
2018-03-06,9,0,0,1,2,3,0
2018-03-07,7,0,1,0,0,2,0
2018-03-08,5,0,0,1,1,1,0
2018-03-09,9,0,1,1,7,2,0
2018-03-10,27,0,0,0,5,4,0
2018-03-11,12,0,0,2,3,1,0
2018-03-12,6,0,1,1,2,2,0
2018-03-13,9,0,0,3,0,1,0
2018-03-14,7,0,0,0,0,1,0
2018-03-15,15,0,0,1,4,0,0
2018-03-16,13,0,0,1,3,4,0
2018-03-17,15,0,2,3,5,1,0
2018-03-18,19,0,1,2,3,4,0
2018-03-19,7,0,0,0,3,1,0
2018-03-20,6,0,0,0,0,0,0
2018-03-21,8,0,0,0,2,0,0
2018-03-22,12,0,0,0,2,0,0
2018-03-23,17,0,1,2,1,3,0
2018-03-24,14,0,1,1,6,4,0
2018-03-25,13,0,0,2,5,1,0
2018-03-26,10,0,0,1,2,1,0
2018-03-27,14,0,0,1,1,1,0
2018-03-28,7,0,0,1,3,2,0
2018-03-29,14,0,1,1,6,3,0
2018-03-30,21,0,0,0,6,5,1
2018-03-31,11,0,0,2,3,0,0
2018-04-01,8,0,0,0,2,2,0
2018-04-02,13,0,0,0,3,2,0
2018-04-03,7,0,0,1,4,1,0
2018-04-04,10,0,0,2,2,7,0
2018-04-05,8,0,0,1,1,1,0
2018-04-06,5,0,0,0,0,2,0
2018-04-07,2,0,0,0,0,0,0
2018-04-08,8,0,0,0,2,2,0
2018-04-09,11,0,0,3,0,2,0
2018-04-10,8,0,0,1,2,1,0
2018-04-11,11,0,0,0,1,0,0
2018-04-12,10,0,1,1,1,2,0
2018-04-13,9,0,0,0,2,0,0
2018-04-14,3,0,0,0,0,1,0
2018-04-15,8,0,0,0,2,1,0
2018-04-16,5,0,0,0,1,1,0
2018-04-17,11,0,2,1,2,1,0
2018-04-18,8,0,1,0,4,2,0
2018-04-19,7,0,0,0,1,1,0
2018-04-20,5,0,0,0,6,0,0
2018-04-21,5,0,0,0,0,0,0
2018-04-22,8,0,0,1,0,1,0
2018-04-23,7,0,0,0,3,1,0
2018-04-24,8,0,0,0,3,3,0
2018-04-25,11,0,0,1,0,0,0
2018-04-26,3,0,0,0,2,3,0
2018-04-27,4,0,0,0,0,1,0
2018-04-28,1,0,0,1,0,0,0
2018-04-29,3,0,0,0,2,3,0
2018-04-30,4,0,0,0,3,0,0
2018-05-01,4,0,1,1,0,1,0
2018-05-02,9,0,0,0,5,1,0
2018-05-03,4,0,0,1,2,2,0
2018-05-04,6,0,0,0,3,2,0
2018-05-05,4,0,0,2,2,1,0
2018-05-06,4,0,0,0,0,2,0
2018-05-07,7,0,0,1,2,4,0
2018-05-08,7,0,0,1,2,3,0
2018-05-09,5,0,0,1,0,1,0
2018-05-10,12,0,0,3,5,2,0
2018-05-11,6,0,0,0,2,2,0
2018-05-12,1,0,0,0,0,0,0
2018-05-13,2,0,0,0,3,2,0
2018-05-14,6,0,0,2,2,2,0
2018-05-15,10,0,0,0,3,3,0
2018-05-16,8,0,0,1,2,1,0
2018-05-17,5,0,0,2,2,3,0
2018-05-18,8,0,0,1,0,2,0
2018-05-19,2,0,0,0,2,0,0
2018-05-20,5,0,0,0,5,2,0
2018-05-21,9,0,0,2,4,2,0
2018-05-22,8,0,0,0,6,5,0
2018-05-23,6,0,0,2,3,1,0
2018-05-24,3,0,0,1,3,1,0
2018-05-25,7,0,1,0,2,2,0
2018-05-26,2,0,0,0,0,1,0
2018-05-27,6,0,0,0,1,0,0
2018-05-28,8,0,0,0,4,5,0
2018-05-29,7,0,0,1,5,2,0
2018-05-30,4,0,0,1,5,3,0
2018-05-31,5,0,0,1,3,2,1
2018-06-01,12,0,0,3,3,6,0
2018-06-02,9,0,0,3,10,7,1
2018-06-03,14,0,0,1,5,3,0
2018-06-04,11,0,0,0,1,1,0
2018-06-05,5,0,1,2,4,1,0
2018-06-06,10,0,0,0,1,4,0
2018-06-07,6,0,0,3,4,2,0
2018-06-08,12,0,0,3,3,4,0
2018-06-09,21,0,0,1,6,9,0
2018-06-10,10,0,0,2,2,3,0
2018-06-11,13,0,0,1,5,3,0
2018-06-12,11,0,0,1,3,1,0
2018-06-13,9,0,0,0,5,1,0
2018-06-14,5,0,0,1,4,3,0
2018-06-15,18,0,0,1,6,4,0
2018-06-16,18,0,0,1,8,3,0
2018-06-17,12,0,1,2,6,2,0
2018-06-18,11,0,0,1,2,0,0
2018-06-19,12,0,0,0,1,3,0
2018-06-20,13,0,0,1,2,2,0
2018-06-21,21,0,0,1,2,4,0
2018-06-22,25,0,0,4,3,6,0
2018-06-23,14,0,0,4,0,3,1
2018-06-24,8,0,0,0,4,7,0
2018-06-25,9,0,0,0,6,0,1
2018-06-26,5,0,0,1,6,1,0
2018-06-27,20,0,1,0,2,1,0
2018-06-28,8,0,0,0,0,4,1
2018-06-29,12,0,0,1,5,1,1
2018-06-30,21,0,0,2,8,7,0
2018-07-01,20,0,0,1,4,4,0
2018-07-02,15,0,1,2,2,1,0
2018-07-03,5,0,0,0,2,5,0
2018-07-04,10,0,0,3,4,1,0
2018-07-05,16,0,0,0,2,4,0
2018-07-06,18,0,1,2,5,4,0
2018-07-07,12,0,0,1,4,4,0
2018-07-08,9,0,0,1,6,5,0
2018-07-09,13,0,0,1,4,4,0
2018-07-10,9,0,0,1,3,1,0
2018-07-11,8,0,0,1,4,4,0
2018-07-12,8,0,0,2,3,3,0
2018-07-13,17,0,0,3,5,4,0
2018-07-14,15,0,0,2,7,4,0
2018-07-15,10,0,0,3,2,6,0
2018-07-16,11,0,0,2,2,5,0
2018-07-17,13,0,1,0,4,2,0
2018-07-18,13,0,0,1,1,1,0
2018-07-19,7,0,0,1,4,2,0
2018-07-20,12,0,0,3,1,5,0
2018-07-21,14,0,1,1,4,2,0
2018-07-22,12,0,1,3,2,5,0
2018-07-23,8,0,0,1,1,3,0
2018-07-24,13,0,2,0,4,2,0
2018-07-25,8,0,0,0,3,2,1
2018-07-26,7,0,1,0,1,4,0
2018-07-27,12,0,0,0,2,2,0
2018-07-28,10,0,2,1,7,8,0
2018-07-29,23,0,2,0,3,5,1
2018-07-30,7,0,0,0,4,1,0
2018-07-31,13,0,0,0,2,1,0
2018-08-01,8,0,0,0,1,1,0
2018-08-02,9,0,0,0,2,3,0
2018-08-03,16,0,0,1,2,3,1
2018-08-04,15,0,0,1,5,6,0
2018-08-05,15,0,0,2,1,5,1
2018-08-06,15,0,0,3,1,2,0
2018-08-07,14,0,0,0,1,0,0
2018-08-08,9,0,0,2,1,0,0
2018-08-09,9,0,0,0,2,1,0
2018-08-10,10,0,0,2,2,3,0
2018-08-11,19,0,0,2,4,4,0
2018-08-12,27,0,0,1,8,3,1
2018-08-13,10,0,0,2,2,1,0
2018-08-14,17,0,0,0,2,0,0
2018-08-15,11,0,0,0,3,3,0
2018-08-16,10,0,0,0,2,1,0
2018-08-17,14,0,2,0,1,3,0
2018-08-18,20,0,0,2,7,4,0
2018-08-19,16,0,0,1,4,4,0
2018-08-20,6,0,0,0,2,3,0
2018-08-21,7,0,0,1,2,1,0
2018-08-22,12,0,0,0,2,0,0
2018-08-23,14,0,0,1,0,5,0
2018-08-24,12,0,0,2,2,3,0
2018-08-25,12,0,0,1,5,8,0
2018-08-26,18,0,0,0,0,4,0
2018-08-27,11,0,0,2,1,0,0
2018-08-28,12,0,0,0,0,2,1
2018-08-29,9,0,0,0,2,0,0
2018-08-30,11,0,0,0,3,4,0
2018-08-31,4,0,0,1,0,0,0
2018-09-01,3,0,0,0,1,0,0
2018-09-02,6,0,0,1,0,1,0
2018-09-03,7,0,0,0,1,2,0
2018-09-04,4,0,0,0,0,0,0
2018-09-05,5,0,0,0,2,0,0
2018-09-06,5,0,0,1,1,0,0
2018-09-07,2,0,0,0,1,0,0
2018-09-08,6,0,0,0,2,0,0
2018-09-09,4,0,0,0,1,1,0
2018-09-10,10,0,0,1,4,2,0
2018-09-11,7,0,0,1,2,4,0
2018-09-12,10,0,0,1,2,1,0
2018-09-13,9,0,0,2,1,0,0
2018-09-14,2,0,0,0,0,2,0
2018-09-15,2,0,0,0,0,0,0
2018-09-16,4,0,0,1,2,2,0
2018-09-17,7,0,0,1,0,1,0
2018-09-18,15,0,0,1,2,0,0
2018-09-19,7,0,0,0,1,1,0
2018-09-20,5,0,0,0,2,1,0
2018-09-21,0,0,0,0,2,1,0
2018-09-22,2,0,0,0,0,0,0
2018-09-23,4,0,0,1,1,1,0
2018-09-24,10,0,0,0,2,2,0
2018-09-25,8,0,0,0,1,1,0
2018-09-26,8,0,0,0,0,2,0
2018-09-27,6,0,1,1,2,2,0
2018-09-28,6,0,0,1,0,1,0
2018-09-29,2,0,0,0,2,0,0
2018-09-30,7,0,0,0,1,1,0
2018-10-01,9,0,0,1,1,0,0
2018-10-02,8,0,0,2,2,6,0
2018-10-03,4,0,1,0,2,4,0
2018-10-04,11,0,1,0,6,2,0
2018-10-05,7,0,0,0,5,2,0
2018-10-06,3,0,0,0,3,1,0
2018-10-07,5,0,0,0,3,3,0
2018-10-08,15,0,0,1,3,3,0
2018-10-09,6,0,0,3,2,3,0
2018-10-10,13,0,0,1,2,2,0
2018-10-11,2,0,1,2,3,0,0
2018-10-12,0,0,0,0,1,2,0
2018-10-13,2,0,0,3,0,1,0
2018-10-14,9,0,0,1,0,0,0
2018-10-15,12,0,0,1,2,1,0
2018-10-16,7,0,0,1,4,2,0
2018-10-17,11,0,0,0,1,5,0
2018-10-18,6,0,0,2,2,1,0
2018-10-19,6,0,0,1,1,0,0
2018-10-20,3,0,0,0,2,1,0
2018-10-21,10,0,0,0,3,3,0
2018-10-22,6,0,0,2,3,3,0
2018-10-23,3,0,0,0,1,1,0
2018-10-24,1,0,0,0,0,2,0
2018-10-25,14,0,0,0,5,0,0
2018-10-26,5,0,0,1,1,3,0
2018-10-27,4,0,0,2,0,1,0
2018-10-28,6,0,0,1,2,2,0
2018-10-29,7,0,0,1,3,5,0
2018-10-30,7,0,1,2,3,4,0
2018-10-31,13,0,0,0,5,3,0
2018-11-01,9,0,0,1,3,3,1
2018-11-02,21,0,0,1,5,5,0
2018-11-03,13,0,0,2,7,6,0
2018-11-04,17,0,1,2,4,3,0
2018-11-05,6,0,1,3,6,1,0
2018-11-06,11,0,0,1,1,2,0
2018-11-07,10,0,0,0,3,1,0
2018-11-08,8,0,0,0,3,2,0
2018-11-09,10,0,1,0,5,3,0
2018-11-10,23,0,0,1,7,4,0
2018-11-11,21,0,0,0,2,5,0
2018-11-12,11,0,0,0,2,2,0
2018-11-13,6,0,1,2,3,2,0
2018-11-14,20,0,0,2,4,5,0
2018-11-15,16,0,0,0,5,4,0
2018-11-16,6,0,1,0,6,0,0
2018-11-17,4,0,0,0,3,0,0
2018-11-18,9,0,0,0,6,2,0
2018-11-19,14,0,0,1,0,5,0
2018-11-20,19,0,0,1,0,5,0
2018-11-21,6,0,0,1,7,1,0
2018-11-22,13,0,0,2,1,2,0
2018-11-23,12,0,1,2,1,2,0
2018-11-24,23,0,0,0,3,4,0
2018-11-25,11,0,0,0,7,8,0
2018-11-26,14,0,0,1,1,2,0
2018-11-27,6,0,0,0,1,1,0
2018-11-28,7,0,1,0,4,3,0
2018-11-29,12,0,0,1,1,4,1
2018-11-30,12,0,0,1,3,4,0
2018-12-01,24,0,1,3,3,5,0
2018-12-02,11,0,1,2,2,4,0
2018-12-03,9,0,0,2,3,2,0
2018-12-04,16,0,1,2,7,3,0
2018-12-05,13,0,0,0,4,2,0
2018-12-06,8,0,0,1,4,2,0
2018-12-07,18,0,0,2,2,3,0
2018-12-08,16,0,2,2,5,3,0
2018-12-09,13,0,0,3,4,7,0
2018-12-10,17,0,0,1,3,4,0
2018-12-11,15,0,0,0,3,3,0
2018-12-12,11,0,0,0,2,2,0
2018-12-13,13,0,1,3,3,2,0
2018-12-14,19,0,0,1,6,3,0
2018-12-15,26,0,0,2,6,6,0
2018-12-16,16,0,1,4,1,2,0
2018-12-17,13,0,0,0,3,2,0
2018-12-18,18,0,0,1,4,1,0
2018-12-19,22,0,1,2,1,7,0
2018-12-20,11,0,1,1,4,2,0
2018-12-21,14,0,0,0,1,4,0
2018-12-22,21,0,1,2,8,7,0
2018-12-23,30,0,0,0,1,9,0
2018-12-24,31,0,1,4,6,4,1
2018-12-25,16,0,0,2,6,3,0
2018-12-26,15,0,0,3,3,1,0
2018-12-27,12,0,0,1,4,6,0
2018-12-28,28,0,0,0,6,8,0
2018-12-29,29,0,0,1,5,5,0
2018-12-30,23,0,0,2,6,5,0
2018-12-31,24,0,2,1,5,7,0
2019-01-01,25,0,0,0,3,5,0
2019-01-02,19,0,2,4,4,7,0
2019-01-03,30,0,0,1,6,5,0
2019-01-04,24,0,1,2,3,6,0
2019-01-05,19,0,0,0,4,4,0
2019-01-06,17,0,0,6,4,5,0
2019-01-07,27,0,0,1,4,3,0
2019-01-08,20,0,0,1,4,3,0
2019-01-09,23,0,0,2,6,6,0
2019-01-10,21,0,1,3,6,10,0
2019-01-11,21,0,1,3,4,3,0
2019-01-12,29,0,0,1,9,5,0
2019-01-13,23,0,0,1,5,5,1
2019-01-14,19,0,0,3,2,8,0
2019-01-15,18,0,1,0,6,5,0
2019-01-16,20,0,0,0,4,2,0
2019-01-17,17,0,0,2,2,4,0
2019-01-18,23,0,0,1,7,8,0
2019-01-19,18,0,0,4,5,6,0
2019-01-20,10,0,0,1,4,3,0
2019-01-21,22,0,0,1,2,4,0
2019-01-22,27,0,0,1,7,6,0
2019-01-23,35,0,0,0,1,6,0
2019-01-24,29,0,0,1,6,8,0
2019-01-25,21,0,0,0,0,6,0
2019-01-26,21,0,0,1,8,8,0
2019-01-27,22,0,0,3,5,6,0
2019-01-28,20,0,1,1,4,4,0
2019-01-29,24,0,0,2,8,2,0
2019-01-30,15,0,0,2,6,5,0
2019-01-31,13,0,1,5,4,2,0
2019-02-01,36,0,0,2,4,3,0
2019-02-02,26,0,0,0,4,3,0
2019-02-03,30,0,0,0,4,2,1
2019-02-04,25,0,2,0,4,7,0
2019-02-05,20,0,0,1,5,0,0
2019-02-06,19,0,0,1,3,9,1
2019-02-07,25,0,1,0,7,4,0
2019-02-08,16,0,1,1,9,3,0
2019-02-09,29,0,1,4,2,3,0
2019-02-10,26,0,1,0,8,4,0
2019-02-11,26,0,0,1,6,7,2
2019-02-12,22,0,2,7,8,4,0
2019-02-13,10,0,1,0,7,8,0
2019-02-14,19,0,0,3,8,3,0
2019-02-15,23,0,0,0,6,5,0
2019-02-16,32,0,0,0,3,5,0
2019-02-17,19,0,0,3,7,3,0
2019-02-18,34,0,2,0,13,6,0
2019-02-19,25,0,0,1,8,6,0
2019-02-20,22,0,1,2,8,1,1
2019-02-21,24,0,0,2,6,8,0
2019-02-22,29,0,1,3,8,6,1
2019-02-23,23,0,0,7,6,8,0
2019-02-24,25,0,1,3,7,6,0
2019-02-25,23,0,0,1,14,6,0
2019-02-26,19,0,0,0,5,4,2
2019-02-27,18,0,0,4,7,4,0
2019-02-28,31,0,0,3,3,6,0
2019-03-01,29,0,0,2,5,7,0
2019-03-02,20,0,1,3,5,8,0
2019-03-03,29,0,0,2,6,6,1
2019-03-04,27,0,1,2,5,4,1
2019-03-05,38,0,0,4,5,7,0
2019-03-06,20,0,1,3,13,8,1
2019-03-07,29,0,0,3,6,7,0
2019-03-08,27,0,0,4,10,3,0
2019-03-09,15,0,1,4,7,6,1
2019-03-10,19,0,0,1,8,7,0
2019-03-11,26,0,0,0,7,7,0
2019-03-12,20,0,1,0,5,4,0
2019-03-13,20,0,0,1,9,10,2
2019-03-14,25,0,0,2,11,7,0
2019-03-15,13,0,0,1,6,1,0
2019-03-16,30,0,0,0,7,6,0
2019-03-17,16,0,1,2,6,5,0
2019-03-18,25,0,1,3,4,3,1
2019-03-19,27,0,0,1,10,3,1
2019-03-20,29,0,0,2,4,3,0
2019-03-21,18,0,0,2,7,2,1
2019-03-22,21,0,0,0,9,7,0
2019-03-23,20,0,1,4,10,9,0
2019-03-24,26,0,0,1,8,7,0
2019-03-25,11,0,0,3,5,5,0
2019-03-26,21,0,0,1,4,3,0
2019-03-27,18,0,0,4,3,6,0
2019-03-28,23,0,0,1,3,4,0
2019-03-29,23,0,0,2,2,4,0
2019-03-30,23,0,0,1,5,7,0
2019-03-31,25,0,2,2,7,5,0
2019-04-01,17,0,1,3,4,10,0
2019-04-02,20,0,0,2,7,4,0
2019-04-03,16,0,0,3,9,2,0
2019-04-04,30,0,1,0,6,4,0
2019-04-05,19,0,0,2,8,5,0
2019-04-06,34,0,0,0,3,5,0
2019-04-07,24,0,0,1,5,2,0
2019-04-08,21,0,1,1,7,6,0
2019-04-09,21,0,1,1,8,8,0
2019-04-10,26,0,0,2,5,4,0
2019-04-11,19,0,1,3,11,8,0
2019-04-12,19,0,0,3,4,6,1
2019-04-13,19,0,1,3,9,5,0
2019-04-14,15,0,0,2,9,7,0
2019-04-15,27,0,0,1,6,4,2
2019-04-16,25,0,0,2,7,5,0
2019-04-17,16,0,0,2,8,7,0
2019-04-18,23,0,0,2,6,3,0
2019-04-19,17,0,0,2,4,9,0
2019-04-20,24,0,1,3,3,6,0
2019-04-21,23,0,0,1,7,5,0
2019-04-22,18,0,0,2,4,4,0
2019-04-23,11,0,2,4,12,7,0
2019-04-24,27,0,2,1,3,4,0
2019-04-25,28,0,0,2,5,7,0
2019-04-26,28,0,1,3,7,7,0
2019-04-27,16,0,0,1,4,4,0
2019-04-28,24,0,0,2,10,7,0
2019-04-29,23,0,0,1,10,6,0
2019-04-30,24,0,0,2,6,6,0
2019-05-01,20,0,0,0,8,1,0
2019-05-02,8,0,1,3,7,6,0
2019-05-03,12,0,1,1,4,3,1
2019-05-04,12,0,1,3,6,4,0
2019-05-05,33,0,0,2,6,7,0
2019-05-06,33,0,0,0,6,7,0
2019-05-07,22,0,0,2,8,8,2
2019-05-08,23,0,2,1,9,1,0
2019-05-09,29,0,0,2,6,9,0
2019-05-10,23,0,0,2,2,1,0
2019-05-11,22,0,0,2,9,4,0
2019-05-12,17,0,2,1,4,7,0
2019-05-13,16,0,0,3,5,4,0
2019-05-14,18,0,1,3,6,1,0
2019-05-15,25,0,0,1,6,6,0
2019-05-16,21,0,0,0,5,4,0
2019-05-17,22,0,2,1,7,1,0
2019-05-18,21,0,0,6,10,8,0
2019-05-19,18,0,0,2,4,1,0
2019-05-20,24,0,0,1,8,4,0
2019-05-21,27,0,1,1,3,5,0
2019-05-22,17,0,1,1,5,4,0
2019-05-23,23,0,1,3,3,4,1
2019-05-24,26,0,1,0,2,4,0
2019-05-25,12,0,0,0,4,4,0
2019-05-26,31,0,2,2,9,6,0
2019-05-27,32,0,0,4,4,5,0
2019-05-28,30,0,0,1,6,2,0
2019-05-29,17,0,2,3,3,5,1
2019-05-30,20,0,0,2,6,10,0
2019-05-31,20,0,0,4,2,10,0
2019-06-01,28,0,1,0,6,3,0
2019-06-02,21,0,1,1,3,3,0
2019-06-03,29,0,0,2,9,8,0
2019-06-04,18,0,0,4,2,0,0
2019-06-05,17,0,0,4,5,6,0
2019-06-06,24,0,0,2,10,6,0
2019-06-07,21,0,1,1,3,3,1
2019-06-08,30,0,0,3,7,4,0
2019-06-09,20,0,0,0,2,4,0
2019-06-10,31,0,1,3,3,6,0
2019-06-11,15,0,0,3,2,7,0
2019-06-12,24,0,1,2,6,5,0
2019-06-13,27,0,0,2,5,7,0
2019-06-14,25,0,1,2,5,7,0
2019-06-15,13,0,0,3,4,4,0
2019-06-16,28,0,0,1,5,3,0
2019-06-17,27,0,0,0,6,8,0
2019-06-18,28,0,0,0,3,6,0
2019-06-19,28,0,0,2,12,5,0
2019-06-20,22,0,0,0,2,2,0
2019-06-21,23,0,0,1,4,7,0
2019-06-22,26,0,0,1,7,4,0
2019-06-23,21,0,0,2,7,7,0
2019-06-24,37,0,0,3,6,6,0
2019-06-25,20,0,0,3,7,3,0
2019-06-26,19,0,0,2,6,5,0
2019-06-27,21,0,1,3,5,9,0
2019-06-28,29,0,1,3,7,3,0
2019-06-29,24,0,1,1,3,4,0
2019-06-30,28,0,0,0,4,4,0
2019-07-01,22,0,1,4,6,6,1
2019-07-02,31,0,1,2,8,6,0
2019-07-03,25,0,2,0,8,5,0
2019-07-04,26,0,0,2,3,10,0
2019-07-05,16,0,0,2,10,7,0
2019-07-06,23,0,0,1,8,4,0
2019-07-07,21,0,1,1,4,3,0
2019-07-08,19,0,0,2,6,5,0
2019-07-09,27,0,0,1,8,4,0
2019-07-10,21,0,1,1,5,4,0
2019-07-11,25,0,0,0,6,0,0
2019-07-12,27,0,0,2,2,6,0
2019-07-13,22,0,0,1,6,6,0
2019-07-14,31,0,0,1,4,6,0
2019-07-15,22,0,0,3,3,5,0
2019-07-16,17,0,0,1,13,3,0
2019-07-17,28,0,0,2,9,3,0
2019-07-18,22,0,0,2,7,5,0
2019-07-19,22,0,0,0,0,5,0
2019-07-20,14,0,1,1,7,5,0
2019-07-21,24,0,1,1,9,5,0
2019-07-22,20,0,0,1,7,3,0
2019-07-23,30,0,0,2,2,6,0
2019-07-24,34,0,0,0,7,8,0
2019-07-25,22,0,1,3,1,1,0
2019-07-26,16,0,0,2,6,6,0
2019-07-27,27,0,0,1,8,7,0
