DATA_OBITO,OUTRAS,COVID - BA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,86,0,0,18,6,18,0
2018-01-02,87,0,1,19,11,23,1
2018-01-03,92,0,0,15,8,14,2
2018-01-04,92,0,1,15,11,13,0
2018-01-05,94,0,0,12,12,19,0
2018-01-06,92,0,0,17,13,19,0
2018-01-07,92,0,0,11,15,18,0
2018-01-08,82,0,0,11,15,23,0
2018-01-09,80,0,1,10,12,19,0
2018-01-10,79,0,0,16,14,11,0
2018-01-11,77,0,1,10,16,18,0
2018-01-12,72,0,0,13,6,22,0
2018-01-13,76,0,0,11,7,9,0
2018-01-14,100,0,1,11,11,20,0
2018-01-15,73,0,0,11,17,16,0
2018-01-16,78,0,0,10,8,12,0
2018-01-17,72,0,0,19,13,16,0
2018-01-18,72,0,0,12,15,17,0
2018-01-19,88,0,0,11,19,16,0
2018-01-20,92,0,1,13,10,23,0
2018-01-21,95,0,0,21,9,21,0
2018-01-22,88,0,0,13,12,21,0
2018-01-23,89,0,0,16,14,16,0
2018-01-24,84,0,0,15,15,14,0
2018-01-25,62,0,0,14,15,14,0
2018-01-26,74,0,0,7,7,20,0
2018-01-27,85,0,0,14,6,17,1
2018-01-28,81,0,0,16,8,22,1
2018-01-29,78,0,0,10,11,22,1
2018-01-30,75,0,0,15,17,16,0
2018-01-31,72,0,0,11,13,16,1
2018-02-01,81,0,0,20,13,11,1
2018-02-02,84,0,0,13,9,20,0
2018-02-03,75,0,1,11,7,20,0
2018-02-04,79,0,0,19,11,15,0
2018-02-05,89,0,0,15,13,22,1
2018-02-06,98,0,0,12,18,24,0
2018-02-07,66,0,0,14,16,16,0
2018-02-08,94,0,0,9,18,20,0
2018-02-09,80,0,0,21,11,18,0
2018-02-10,100,0,0,18,12,21,0
2018-02-11,103,0,0,15,11,13,0
2018-02-12,88,0,0,19,13,17,0
2018-02-13,94,0,0,18,15,17,0
2018-02-14,83,0,0,9,14,23,0
2018-02-15,79,0,0,17,14,19,0
2018-02-16,74,0,0,10,17,20,0
2018-02-17,92,0,0,19,18,11,0
2018-02-18,81,0,1,16,11,22,0
2018-02-19,96,0,1,15,15,23,0
2018-02-20,87,0,0,15,15,16,0
2018-02-21,91,0,0,21,15,24,0
2018-02-22,77,0,0,12,10,18,0
2018-02-23,79,0,0,14,18,20,0
2018-02-24,93,0,1,22,9,14,1
2018-02-25,77,0,0,12,11,16,0
2018-02-26,96,0,1,11,11,16,0
2018-02-27,90,0,0,17,6,17,0
2018-02-28,81,0,0,17,12,22,0
2018-03-01,89,0,0,16,7,19,0
2018-03-02,83,0,0,18,17,19,0
2018-03-03,97,0,0,7,14,19,2
2018-03-04,100,0,0,16,15,22,0
2018-03-05,88,0,0,17,9,22,0
2018-03-06,90,0,1,24,19,21,0
2018-03-07,97,0,2,14,8,32,0
2018-03-08,100,0,2,12,17,22,0
2018-03-09,92,0,0,9,7,20,0
2018-03-10,109,0,0,14,10,18,0
2018-03-11,89,0,0,20,7,21,0
2018-03-12,91,0,0,13,16,19,0
2018-03-13,88,0,1,16,19,22,0
2018-03-14,103,0,0,29,19,22,0
2018-03-15,89,0,0,11,15,19,0
2018-03-16,86,0,0,11,16,30,0
2018-03-17,88,0,0,12,20,23,0
2018-03-18,85,0,0,13,21,21,0
2018-03-19,84,0,1,20,13,22,0
2018-03-20,108,0,0,7,20,20,1
2018-03-21,110,0,0,15,15,16,0
2018-03-22,83,0,0,7,11,20,0
2018-03-23,102,0,0,22,26,22,0
2018-03-24,80,0,1,16,12,22,0
2018-03-25,96,0,0,8,18,20,0
2018-03-26,79,0,0,14,14,16,0
2018-03-27,102,0,0,20,11,28,0
2018-03-28,103,0,1,19,10,15,0
2018-03-29,93,0,0,16,12,15,1
2018-03-30,93,0,0,23,13,17,0
2018-03-31,100,0,0,18,19,22,0
2018-04-01,108,0,0,16,17,13,0
2018-04-02,109,0,1,16,26,28,2
2018-04-03,111,0,1,9,15,23,0
2018-04-04,98,0,2,15,21,27,0
2018-04-05,108,0,0,19,18,20,0
2018-04-06,121,0,0,19,16,23,0
2018-04-07,101,0,1,24,16,27,0
2018-04-08,76,0,1,8,15,22,1
2018-04-09,98,0,0,23,20,16,0
2018-04-10,85,0,3,14,12,14,0
2018-04-11,89,0,0,17,12,15,1
2018-04-12,89,0,1,13,11,16,1
2018-04-13,106,0,2,21,14,32,0
2018-04-14,88,0,0,19,21,32,0
2018-04-15,106,0,0,18,16,21,3
2018-04-16,100,0,0,17,16,20,0
2018-04-17,105,0,0,6,18,28,0
2018-04-18,95,0,1,23,10,21,0
2018-04-19,92,0,0,18,12,21,1
2018-04-20,107,0,0,17,19,20,0
2018-04-21,83,0,0,14,13,25,0
2018-04-22,105,0,1,18,14,21,1
2018-04-23,107,0,0,25,23,22,0
2018-04-24,100,0,0,15,15,10,0
2018-04-25,122,0,0,18,12,31,0
2018-04-26,92,0,0,17,16,25,0
2018-04-27,111,0,0,14,16,21,0
2018-04-28,114,0,0,18,19,13,0
2018-04-29,109,0,0,25,17,17,2
2018-04-30,93,0,1,17,18,29,0
2018-05-01,107,0,0,15,13,16,0
2018-05-02,93,0,2,24,16,30,0
2018-05-03,94,0,3,21,14,18,0
2018-05-04,118,0,0,18,19,24,0
2018-05-05,101,0,1,21,20,21,0
2018-05-06,106,0,1,9,18,23,0
2018-05-07,106,0,1,18,12,25,0
2018-05-08,95,0,0,16,24,15,0
2018-05-09,88,0,0,15,13,18,1
2018-05-10,94,0,1,18,17,26,1
2018-05-11,107,0,0,13,23,22,0
2018-05-12,95,0,0,21,15,16,0
2018-05-13,108,0,0,19,24,23,0
2018-05-14,93,0,0,19,20,18,0
2018-05-15,113,0,0,25,18,17,0
2018-05-16,108,0,0,15,33,21,1
2018-05-17,114,0,1,19,13,12,0
2018-05-18,117,0,0,25,20,22,1
2018-05-19,106,0,1,18,19,15,0
2018-05-20,107,0,1,26,12,14,0
2018-05-21,106,0,0,17,6,27,0
2018-05-22,98,0,1,18,23,14,1
