DATA_OBITO,OUTRAS,COVID - CE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,64,0,1,16,15,6,0
2018-01-02,75,0,0,7,19,7,0
2018-01-03,63,0,0,7,14,6,0
2018-01-04,61,0,1,5,17,10,0
2018-01-05,64,0,2,8,11,11,0
2018-01-06,52,0,0,8,5,7,0
2018-01-07,56,0,0,6,14,9,0
2018-01-08,78,0,0,5,18,11,0
2018-01-09,64,0,1,10,13,16,0
2018-01-10,55,0,0,5,10,14,0
2018-01-11,53,0,0,8,7,11,0
2018-01-12,46,0,0,6,19,6,0
2018-01-13,55,0,1,5,20,10,0
2018-01-14,49,0,0,6,13,9,0
2018-01-15,62,0,0,11,16,13,0
2018-01-16,62,0,2,10,11,12,0
2018-01-17,70,0,0,9,18,15,0
2018-01-18,60,0,0,6,19,16,0
2018-01-19,70,0,2,7,14,15,0
2018-01-20,43,0,0,6,23,10,0
2018-01-21,60,0,0,22,16,9,0
2018-01-22,46,0,0,10,12,5,0
2018-01-23,61,0,0,5,17,12,0
2018-01-24,60,0,1,6,13,13,0
2018-01-25,53,0,0,8,24,14,0
2018-01-26,58,0,1,6,17,14,0
2018-01-27,58,0,0,4,13,11,0
2018-01-28,60,0,0,12,14,15,0
2018-01-29,55,0,0,10,9,9,0
2018-01-30,62,0,0,8,15,14,1
2018-01-31,63,0,0,10,9,18,0
2018-02-01,58,0,0,7,13,24,0
2018-02-02,60,0,0,5,17,13,1
2018-02-03,52,0,0,12,11,19,0
2018-02-04,60,0,0,8,16,12,0
2018-02-05,55,0,0,9,17,15,0
2018-02-06,64,0,0,10,24,8,0
2018-02-07,51,0,0,9,16,14,0
2018-02-08,61,0,0,8,12,9,0
2018-02-09,52,0,0,6,15,9,0
2018-02-10,60,0,0,1,19,6,0
2018-02-11,54,0,0,6,22,10,0
2018-02-12,61,0,0,10,14,12,0
2018-02-13,55,0,0,5,14,14,0
2018-02-14,63,0,1,8,15,10,0
2018-02-15,62,0,1,6,20,17,0
2018-02-16,61,0,0,12,11,10,0
2018-02-17,82,0,0,8,17,13,0
2018-02-18,59,0,0,3,19,9,0
2018-02-19,66,0,0,11,19,11,1
2018-02-20,77,0,0,9,17,13,0
2018-02-21,54,0,0,7,15,13,0
2018-02-22,58,0,0,10,16,11,0
2018-02-23,55,0,0,10,19,17,0
2018-02-24,46,0,0,7,19,6,0
2018-02-25,60,0,0,7,18,9,0
2018-02-26,54,0,1,14,17,13,0
2018-02-27,68,0,0,3,22,14,0
2018-02-28,64,0,0,8,23,14,0
2018-03-01,57,0,0,5,12,14,0
2018-03-02,72,0,0,6,19,14,0
2018-03-03,55,0,1,5,17,14,1
2018-03-04,64,0,0,6,15,7,0
2018-03-05,72,0,0,7,17,9,0
2018-03-06,60,0,0,7,23,18,0
2018-03-07,60,0,0,12,19,19,0
2018-03-08,61,0,1,4,18,11,0
2018-03-09,74,0,0,3,16,8,0
2018-03-10,69,0,0,9,18,14,0
2018-03-11,62,0,0,5,16,13,0
2018-03-12,66,0,0,10,28,15,0
2018-03-13,67,0,0,6,18,13,0
2018-03-14,73,0,0,4,18,15,0
2018-03-15,72,0,1,7,16,15,0
2018-03-16,71,0,0,7,20,18,1
2018-03-17,69,0,0,11,20,17,0
2018-03-18,78,0,1,11,20,13,0
2018-03-19,64,0,0,7,25,19,0
2018-03-20,76,0,1,11,15,12,0
2018-03-21,54,0,2,9,21,14,0
2018-03-22,67,0,0,8,16,14,0
2018-03-23,63,0,1,10,24,8,0
2018-03-24,69,0,1,7,21,16,0
2018-03-25,65,0,1,13,21,4,0
2018-03-26,69,0,0,8,22,13,0
2018-03-27,58,0,0,5,19,7,0
2018-03-28,52,0,0,6,26,18,0
2018-03-29,74,0,0,7,25,21,0
2018-03-30,58,0,2,12,22,10,0
2018-03-31,76,0,1,9,23,13,0
2018-04-01,60,0,0,8,17,12,0
2018-04-02,65,0,0,6,14,13,0
2018-04-03,74,0,0,10,17,10,0
2018-04-04,74,0,0,8,22,8,1
2018-04-05,52,0,0,5,18,10,0
2018-04-06,69,0,0,5,16,8,0
2018-04-07,67,0,1,6,19,15,0
2018-04-08,84,0,0,4,14,9,0
2018-04-09,61,0,1,8,29,9,0
2018-04-10,66,0,0,5,23,15,0
2018-04-11,76,0,1,4,21,15,1
2018-04-12,74,0,1,6,13,15,0
2018-04-13,72,0,0,11,20,12,0
2018-04-14,82,0,1,11,21,17,0
2018-04-15,57,0,0,5,22,14,0
2018-04-16,70,0,0,8,24,14,0
2018-04-17,73,0,0,9,31,17,0
2018-04-18,71,0,0,8,21,12,0
2018-04-19,71,0,0,4,28,10,1
2018-04-20,66,0,0,5,25,18,1
2018-04-21,71,0,0,10,33,17,1
2018-04-22,82,0,0,7,29,22,0
2018-04-23,72,0,1,8,35,16,2
2018-04-24,74,0,0,12,29,18,0
2018-04-25,68,0,2,12,23,9,0
2018-04-26,67,0,1,8,22,18,0
2018-04-27,73,0,0,13,27,15,0
2018-04-28,67,0,0,10,35,14,0
2018-04-29,66,0,0,9,23,10,0
2018-04-30,80,0,0,9,32,22,0
2018-05-01,60,0,0,6,20,11,0
2018-05-02,70,0,0,13,21,13,1
2018-05-03,64,0,0,9,24,11,0
2018-05-04,53,0,1,7,22,11,0
2018-05-05,64,0,0,7,18,9,0
2018-05-06,71,0,0,8,28,14,0
2018-05-07,70,0,0,12,19,10,0
2018-05-08,74,0,0,9,24,13,0
2018-05-09,70,0,1,15,25,13,0
2018-05-10,79,0,0,7,29,14,0
2018-05-11,78,0,0,7,21,19,0
2018-05-12,77,0,1,16,21,15,0
2018-05-13,80,0,0,7,24,12,1
2018-05-14,66,0,0,9,31,13,0
2018-05-15,63,0,0,4,27,6,0
2018-05-16,65,0,2,5,25,20,0
2018-05-17,69,0,0,11,24,9,0
2018-05-18,66,0,0,9,23,7,0
2018-05-19,59,0,2,7,25,8,0
2018-05-20,58,0,0,5,23,12,0
2018-05-21,58,0,0,13,20,18,0
2018-05-22,56,0,1,9,19,12,0
2018-05-23,69,0,0,12,20,7,0
2018-05-24,63,0,0,3,20,14,0
2018-05-25,62,0,0,2,37,23,1
2018-05-26,65,0,0,6,20,11,0
2018-05-27,69,0,1,6,16,12,0
2018-05-28,57,0,1,14,12,14,0
2018-05-29,63,0,0,10,18,10,0
2018-05-30,63,0,0,8,17,16,1
2018-05-31,76,0,0,7,18,8,0
2018-06-01,76,0,0,15,29,15,0
2018-06-02,74,0,0,12,19,16,1
2018-06-03,81,0,0,5,10,15,0
2018-06-04,55,0,0,9,16,10,0
2018-06-05,54,0,0,6,14,16,0
2018-06-06,72,0,0,12,31,17,0
2018-06-07,56,0,0,7,22,8,0
2018-06-08,67,0,0,7,17,7,0
2018-06-09,59,0,1,11,14,6,0
2018-06-10,49,0,0,12,18,11,0
2018-06-11,68,0,0,5,16,15,0
2018-06-12,75,0,1,4,15,15,0
2018-06-13,63,0,2,4,16,13,0
2018-06-14,50,0,0,8,14,7,0
2018-06-15,51,0,0,8,17,12,0
2018-06-16,77,0,0,10,15,9,1
2018-06-17,68,0,2,3,25,18,0
2018-06-18,65,0,0,2,25,6,0
2018-06-19,42,0,0,8,16,17,0
2018-06-20,56,0,0,9,17,13,0
2018-06-21,54,0,1,6,10,17,0
2018-06-22,54,0,0,6,19,10,0
2018-06-23,60,0,0,4,20,6,1
2018-06-24,79,0,0,9,18,6,0
2018-06-25,61,0,0,4,16,15,0
2018-06-26,77,0,1,8,16,12,0
2018-06-27,71,0,1,8,20,17,0
2018-06-28,66,0,0,7,13,8,0
