DATA_OBITO,OUTRAS,COVID - DF,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,27,0,0,1,8,8,0
2018-01-02,13,0,0,3,8,4,0
2018-01-03,23,0,2,2,10,9,0
2018-01-04,20,0,0,4,10,5,0
2018-01-05,21,0,0,1,15,5,0
2018-01-06,19,0,0,2,5,4,0
2018-01-07,19,0,1,2,4,5,0
2018-01-08,18,0,0,2,10,6,1
2018-01-09,10,0,0,2,13,8,0
2018-01-10,14,0,1,2,12,5,0
2018-01-11,16,0,0,1,7,5,0
2018-01-12,24,0,0,2,5,9,0
2018-01-13,17,0,0,1,3,4,0
2018-01-14,13,0,0,0,4,2,0
2018-01-15,11,0,2,1,6,6,0
2018-01-16,18,0,0,4,7,7,0
2018-01-17,21,0,0,3,10,7,0
2018-01-18,17,0,0,3,7,6,0
2018-01-19,12,0,0,2,7,8,0
2018-01-20,9,0,0,3,8,6,0
2018-01-21,20,0,0,2,11,7,0
2018-01-22,15,0,0,2,11,5,0
2018-01-23,18,0,0,5,7,5,1
2018-01-24,14,0,0,5,14,8,0
2018-01-25,14,0,1,3,5,6,0
2018-01-26,21,0,0,0,9,5,0
2018-01-27,11,0,0,1,8,7,0
2018-01-28,20,0,0,2,5,7,0
2018-01-29,17,0,0,5,8,6,0
2018-01-30,14,0,0,4,9,4,0
2018-01-31,10,0,0,1,3,3,0
2018-02-01,14,0,1,4,7,5,0
2018-02-02,19,0,0,6,7,3,0
2018-02-03,19,0,0,1,7,3,1
2018-02-04,18,0,1,1,9,6,0
2018-02-05,14,0,0,5,10,7,0
2018-02-06,13,0,1,3,10,5,0
2018-02-07,21,0,1,4,5,6,0
2018-02-08,19,0,0,3,2,3,1
2018-02-09,15,0,0,3,7,3,0
2018-02-10,17,0,0,4,12,4,0
2018-02-11,14,0,1,2,10,9,0
2018-02-12,27,0,0,3,7,3,0
2018-02-13,16,0,0,4,9,6,0
2018-02-14,18,0,0,4,10,6,0
2018-02-15,25,0,0,2,5,7,0
2018-02-16,16,0,0,1,13,9,0
2018-02-17,13,0,0,4,7,9,0
2018-02-18,16,0,0,2,6,10,0
2018-02-19,17,0,2,3,7,3,0
2018-02-20,19,0,0,1,9,15,0
2018-02-21,22,0,0,10,6,1,0
2018-02-22,15,0,1,3,3,14,1
2018-02-23,24,0,0,3,9,7,0
2018-02-24,18,0,0,0,8,2,0
2018-02-25,24,0,0,4,4,10,0
2018-02-26,26,0,1,1,9,9,0
2018-02-27,22,0,0,1,6,7,0
2018-02-28,25,0,0,3,6,7,0
2018-03-01,19,0,2,4,8,11,0
2018-03-02,19,0,1,3,6,10,0
2018-03-03,22,0,1,1,8,5,0
2018-03-04,21,0,0,2,11,10,0
2018-03-05,13,0,0,6,12,13,0
2018-03-06,26,0,0,5,7,4,0
2018-03-07,14,0,0,4,10,9,0
