DATA_OBITO,OUTRAS,COVID - ES,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,34,0,0,5,10,9,0
2018-01-02,30,0,0,3,12,15,0
2018-01-03,27,0,1,6,9,11,0
2018-01-04,33,0,0,5,17,12,1
2018-01-05,29,0,0,1,11,9,0
2018-01-06,30,0,0,3,10,12,0
2018-01-07,37,0,0,7,8,10,0
2018-01-08,35,0,0,3,13,9,0
2018-01-09,29,0,0,1,16,6,0
2018-01-10,35,0,0,3,19,10,0
2018-01-11,35,0,0,8,14,13,1
2018-01-12,33,0,0,6,9,6,0
2018-01-13,31,0,0,3,13,11,0
2018-01-14,27,0,0,5,10,13,0
2018-01-15,33,0,0,2,13,7,0
2018-01-16,34,0,0,2,21,11,0
2018-01-17,35,0,0,5,7,11,0
2018-01-18,31,0,0,7,8,9,0
2018-01-19,41,0,0,1,4,7,0
2018-01-20,43,0,0,2,4,11,0
2018-01-21,32,0,0,3,14,11,0
2018-01-22,25,0,0,8,11,6,0
2018-01-23,36,0,0,4,10,11,0
2018-01-24,36,0,0,3,14,7,0
2018-01-25,30,0,0,3,10,10,0
2018-01-26,26,0,0,3,12,13,0
2018-01-27,40,0,0,8,17,8,0
2018-01-28,19,0,0,2,6,13,0
2018-01-29,28,0,0,3,18,10,0
2018-01-30,30,0,0,4,14,3,0
2018-01-31,21,0,0,1,14,8,0
2018-02-01,39,0,0,4,6,9,0
2018-02-02,37,0,0,1,15,14,0
2018-02-03,31,0,0,1,8,9,0
2018-02-04,28,0,0,1,11,11,0
2018-02-05,25,0,0,2,12,10,0
2018-02-06,32,0,0,6,18,12,0
2018-02-07,27,0,0,2,13,6,0
2018-02-08,26,0,0,2,9,8,0
2018-02-09,29,0,0,2,13,11,0
2018-02-10,35,0,0,1,8,7,0
2018-02-11,29,0,0,1,16,13,0
2018-02-12,29,0,0,5,13,7,0
2018-02-13,31,0,0,6,20,15,0
2018-02-14,27,0,0,5,8,13,0
2018-02-15,27,0,0,4,6,7,0
2018-02-16,37,0,0,3,13,8,0
2018-02-17,26,0,0,6,9,8,0
2018-02-18,30,0,0,4,15,8,0
2018-02-19,24,0,0,7,11,9,0
2018-02-20,30,0,0,3,17,10,0
2018-02-21,27,0,0,6,9,9,0
2018-02-22,36,0,0,2,12,9,0
2018-02-23,30,0,0,3,9,9,0
2018-02-24,38,0,0,4,10,11,0
2018-02-25,36,0,0,6,13,12,0
2018-02-26,31,0,0,2,16,6,0
2018-02-27,34,0,0,1,14,8,0
2018-02-28,40,0,0,2,9,11,0
2018-03-01,30,0,1,7,11,13,0
2018-03-02,40,0,0,4,10,12,0
2018-03-03,31,0,0,6,13,11,1
2018-03-04,32,0,0,5,6,3,0
2018-03-05,36,0,0,7,12,12,0
2018-03-06,32,0,0,4,15,14,0
2018-03-07,32,0,0,2,16,16,0
2018-03-08,36,0,0,4,13,10,0
2018-03-09,29,0,0,3,9,6,0
2018-03-10,32,0,0,4,16,8,0
2018-03-11,43,0,0,3,14,6,0
2018-03-12,38,0,0,2,11,8,0
2018-03-13,41,0,0,3,7,8,0
2018-03-14,31,0,0,5,13,7,0
2018-03-15,29,0,1,1,14,12,0
2018-03-16,42,0,0,4,5,10,0
2018-03-17,30,0,1,4,15,7,0
2018-03-18,34,0,0,8,17,13,0
2018-03-19,27,0,0,5,16,12,0
2018-03-20,28,0,0,6,14,13,0
2018-03-21,26,0,0,1,12,8,0
2018-03-22,27,0,0,2,11,7,0
2018-03-23,34,0,0,6,11,10,0
2018-03-24,26,0,0,1,15,6,0
2018-03-25,40,0,0,3,17,6,0
2018-03-26,31,0,0,3,14,11,0
2018-03-27,26,0,0,4,11,8,1
2018-03-28,33,0,0,4,11,9,0
2018-03-29,25,0,0,6,3,12,0
2018-03-30,45,0,0,5,12,6,0
2018-03-31,36,0,0,3,11,8,0
2018-04-01,28,0,0,2,13,9,0
2018-04-02,35,0,0,4,9,4,0
2018-04-03,29,0,0,0,13,6,0
2018-04-04,30,0,0,1,10,12,0
2018-04-05,24,0,0,5,17,17,0
2018-04-06,39,0,0,5,11,8,0
2018-04-07,31,0,0,2,13,11,0
2018-04-08,42,0,0,5,13,13,0
