DATA_OBITO,OUTRAS,COVID - GO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,64,0,0,7,13,11,0
2018-01-02,43,0,0,6,16,8,0
2018-01-03,41,0,0,7,19,10,0
2018-01-04,57,0,0,6,9,8,1
2018-01-05,32,0,0,5,11,11,0
2018-01-06,47,0,1,4,20,11,0
2018-01-07,37,0,0,6,19,7,0
2018-01-08,54,0,0,9,15,11,0
2018-01-09,47,0,0,2,24,11,0
2018-01-10,30,0,1,11,14,13,0
2018-01-11,38,0,0,9,17,12,0
2018-01-12,27,0,0,7,13,6,0
2018-01-13,37,0,0,6,14,13,0
2018-01-14,40,0,0,6,15,6,0
2018-01-15,36,0,0,7,13,5,0
2018-01-16,41,0,0,4,14,9,0
2018-01-17,46,0,0,5,18,9,0
2018-01-18,39,0,1,11,14,9,0
2018-01-19,48,0,0,10,18,13,0
2018-01-20,53,0,0,8,24,12,0
2018-01-21,39,0,0,9,11,9,1
2018-01-22,40,0,0,7,18,13,1
2018-01-23,44,0,0,12,13,10,0
2018-01-24,35,0,1,8,16,7,0
2018-01-25,52,0,0,12,12,10,0
2018-01-26,49,0,0,8,19,12,0
2018-01-27,42,0,1,2,14,9,0
2018-01-28,24,0,0,4,18,15,0
2018-01-29,41,0,0,12,17,9,0
2018-01-30,33,0,0,4,17,6,0
2018-01-31,44,0,0,15,6,11,0
2018-02-01,48,0,0,9,17,8,0
2018-02-02,39,0,0,9,10,6,0
2018-02-03,48,0,0,5,16,5,0
2018-02-04,35,0,0,10,11,15,0
2018-02-05,37,0,0,6,8,5,0
2018-02-06,43,0,0,14,19,7,0
2018-02-07,43,0,0,5,20,10,0
2018-02-08,44,0,0,6,17,8,0
2018-02-09,39,0,0,7,18,15,0
2018-02-10,38,0,1,5,26,18,0
2018-02-11,37,0,0,5,19,10,1
2018-02-12,50,0,0,1,11,14,0
2018-02-13,59,0,0,7,13,12,0
2018-02-14,48,0,0,5,18,9,0
2018-02-15,36,0,0,7,14,13,1
2018-02-16,50,0,0,5,11,12,0
2018-02-17,39,0,0,6,18,11,0
2018-02-18,44,0,0,5,13,13,0
2018-02-19,46,0,1,7,19,11,0
2018-02-20,40,0,0,11,10,8,0
2018-02-21,55,0,0,8,9,7,0
2018-02-22,38,0,0,2,17,7,0
2018-02-23,47,0,0,3,15,12,1
2018-02-24,46,0,0,11,13,7,0
2018-02-25,44,0,0,3,14,7,0
2018-02-26,47,0,1,16,18,9,0
2018-02-27,46,0,0,8,14,11,0
2018-02-28,39,0,0,9,17,9,0
2018-03-01,61,0,0,7,14,12,0
2018-03-02,42,0,0,9,16,12,1
2018-03-03,55,0,1,7,13,9,0
2018-03-04,46,0,0,9,18,20,0
2018-03-05,44,0,1,10,14,12,0
2018-03-06,39,0,0,13,15,9,0
2018-03-07,49,0,1,6,16,8,0
2018-03-08,35,0,1,3,18,13,0
2018-03-09,41,0,0,8,17,8,0
2018-03-10,51,0,0,6,12,11,0
2018-03-11,54,0,0,7,18,4,0
2018-03-12,47,0,1,6,16,7,0
2018-03-13,50,0,0,6,16,11,0
2018-03-14,34,0,0,11,16,9,1
