DATA_OBITO,OUTRAS,COVID - MA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,23,0,0,2,5,1,0
2018-01-02,17,0,0,2,3,4,0
2018-01-03,23,0,0,6,4,2,0
2018-01-04,20,0,0,4,3,6,0
2018-01-05,26,0,0,5,0,4,0
2018-01-06,20,0,0,2,2,5,0
2018-01-07,21,0,0,5,2,4,0
2018-01-08,11,0,0,1,1,2,0
2018-01-09,12,0,0,3,6,4,0
2018-01-10,23,0,0,7,1,4,0
2018-01-11,15,0,0,1,5,3,0
2018-01-12,18,0,0,2,2,2,0
2018-01-13,21,0,0,1,3,2,0
2018-01-14,18,0,1,1,1,3,0
2018-01-15,32,0,0,3,6,4,0
2018-01-16,27,0,1,5,4,3,0
2018-01-17,23,0,0,2,3,4,0
2018-01-18,18,0,1,5,8,4,0
2018-01-19,27,0,1,2,4,2,0
2018-01-20,17,0,0,2,5,2,0
2018-01-21,21,0,1,2,1,3,0
2018-01-22,22,0,0,1,2,3,0
2018-01-23,16,0,1,3,1,3,0
2018-01-24,13,0,0,2,3,2,0
2018-01-25,19,0,0,3,7,3,0
2018-01-26,21,0,0,1,3,7,0
2018-01-27,22,0,1,2,1,5,0
2018-01-28,14,0,0,2,3,5,0
2018-01-29,21,0,0,6,2,1,0
2018-01-30,29,0,0,2,0,2,0
2018-01-31,26,0,1,4,1,3,0
2018-02-01,17,0,0,3,1,1,0
2018-02-02,23,0,0,7,1,3,0
2018-02-03,17,0,0,8,1,1,0
2018-02-04,17,0,0,0,6,3,0
2018-02-05,21,0,0,3,3,2,0
2018-02-06,14,0,1,1,3,2,0
2018-02-07,19,0,0,1,2,1,0
2018-02-08,13,0,0,2,4,2,0
2018-02-09,17,0,0,0,2,1,0
2018-02-10,9,0,0,3,3,0,0
2018-02-11,16,0,0,4,6,4,0
2018-02-12,20,0,0,3,0,2,0
2018-02-13,23,0,0,2,6,0,0
2018-02-14,22,0,1,2,2,4,0
2018-02-15,23,0,1,2,2,3,0
2018-02-16,23,0,0,2,3,3,0
2018-02-17,18,0,0,4,7,4,0
2018-02-18,20,0,1,5,3,10,0
2018-02-19,23,0,0,2,6,5,0
2018-02-20,23,0,0,5,5,7,0
2018-02-21,26,0,1,4,8,3,0
2018-02-22,18,0,0,6,3,3,0
2018-02-23,26,0,0,1,3,5,0
