DATA_OBITO,OUTRAS,COVID - MG,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,270,0,0,1,0,0,0
2018-01-02,236,0,0,0,0,0,0
2018-01-03,267,0,0,1,0,0,0
2018-01-04,247,0,0,0,0,0,0
2018-01-05,257,0,0,0,0,0,0
2018-01-06,255,0,0,0,0,0,0
2018-01-07,296,0,0,0,0,1,0
2018-01-08,263,0,0,0,0,0,0
2018-01-09,251,0,0,0,1,0,0
2018-01-10,232,0,0,0,0,0,0
2018-01-11,272,0,0,0,0,0,0
2018-01-12,291,0,0,0,0,0,0
2018-01-13,270,0,0,0,0,0,0
2018-01-14,244,0,0,0,0,0,0
2018-01-15,266,0,0,0,0,0,0
2018-01-16,256,0,0,0,0,0,0
2018-01-17,243,0,0,0,0,1,0
2018-01-18,250,0,0,0,0,0,0
2018-01-19,277,0,0,0,0,0,0
2018-01-20,311,0,0,0,0,0,0
2018-01-21,279,0,0,0,0,0,0
2018-01-22,258,0,0,0,0,0,0
2018-01-23,283,0,0,0,0,0,0
2018-01-24,279,0,0,0,0,1,0
2018-01-25,273,0,0,0,0,0,0
2018-01-26,232,0,0,0,0,0,0
2018-01-27,286,0,0,0,0,0,0
2018-01-28,272,0,0,0,0,0,0
2018-01-29,279,0,0,0,0,0,0
2018-01-30,262,0,0,0,1,0,0
2018-01-31,234,0,0,0,0,0,0
2018-02-01,254,0,0,0,0,0,0
2018-02-02,277,0,0,0,0,1,0
2018-02-03,270,0,0,0,0,0,0
2018-02-04,247,0,0,0,0,0,0
2018-02-05,245,0,0,0,0,0,0
2018-02-06,221,0,0,0,0,0,0
2018-02-07,293,0,0,0,1,0,0
2018-02-08,267,0,0,1,0,0,0
2018-02-09,263,0,0,0,0,0,0
2018-02-10,247,0,0,0,0,0,0
2018-02-11,298,0,0,0,0,0,0
2018-02-12,255,0,1,0,0,0,0
2018-02-13,273,0,0,0,0,0,0
2018-02-14,251,0,0,0,2,0,0
2018-02-15,246,0,0,0,0,0,0
2018-02-16,267,0,0,0,1,0,0
2018-02-17,270,0,0,0,0,0,0
2018-02-18,244,0,0,0,0,0,0
2018-02-19,252,0,0,0,0,0,0
2018-02-20,244,0,0,0,0,0,0
2018-02-21,226,0,0,0,0,0,0
2018-02-22,250,0,0,0,0,0,0
2018-02-23,244,0,0,0,0,0,0
2018-02-24,282,0,0,0,0,0,0
2018-02-25,246,0,0,0,0,0,0
2018-02-26,256,0,0,0,0,0,0
2018-02-27,263,0,0,0,1,0,0
2018-02-28,273,0,0,0,0,0,0
2018-03-01,233,0,0,0,0,0,0
2018-03-02,213,0,0,0,0,0,0
2018-03-03,232,0,0,0,0,0,0
2018-03-04,262,0,0,0,0,0,0
2018-03-05,261,0,0,0,0,0,0
2018-03-06,267,0,0,0,0,0,0
2018-03-07,284,0,0,0,0,0,0
2018-03-08,283,0,0,0,0,0,0
2018-03-09,250,0,0,0,1,0,0
2018-03-10,253,0,0,0,0,0,0
2018-03-11,234,0,0,0,0,0,0
2018-03-12,290,0,0,0,0,0,0
2018-03-13,262,0,0,0,0,0,0
2018-03-14,280,0,0,0,0,0,0
2018-03-15,261,0,0,0,1,1,0
2018-03-16,272,0,0,0,0,0,0
2018-03-17,243,0,0,0,0,0,0
2018-03-18,258,0,0,0,0,0,0
2018-03-19,293,0,0,0,0,0,0
2018-03-20,283,0,0,0,0,0,0
2018-03-21,281,0,0,0,0,0,0
2018-03-22,278,0,0,0,0,0,0
2018-03-23,244,0,0,0,1,0,0
2018-03-24,229,0,0,0,0,0,0
2018-03-25,261,0,0,0,0,0,0
2018-03-26,230,0,0,1,0,0,0
2018-03-27,255,0,0,0,0,0,0
2018-03-28,253,0,0,1,0,0,0
2018-03-29,224,0,0,0,0,0,0
2018-03-30,240,0,0,0,0,0,0
2018-03-31,220,0,0,0,0,0,0
2018-04-01,282,0,0,0,0,0,0
2018-04-02,252,0,0,0,0,0,0
2018-04-03,249,0,0,0,1,0,0
2018-04-04,290,0,0,0,0,0,0
2018-04-05,262,0,0,0,1,0,0
2018-04-06,251,0,0,0,0,0,0
2018-04-07,238,0,0,0,1,0,0
2018-04-08,232,0,0,0,0,0,0
2018-04-09,259,0,0,0,1,1,0
2018-04-10,232,0,0,1,1,0,0
2018-04-11,272,0,0,0,1,0,0
2018-04-12,240,0,0,0,1,0,0
2018-04-13,232,0,0,0,0,1,0
2018-04-14,234,0,0,0,0,1,0
2018-04-15,253,0,0,0,0,1,0
2018-04-16,260,0,0,0,0,0,0
2018-04-17,272,0,0,1,0,0,0
2018-04-18,254,0,0,0,0,0,0
2018-04-19,311,0,0,0,0,0,0
2018-04-20,247,0,0,2,0,0,0
2018-04-21,272,0,0,0,0,1,0
2018-04-22,277,0,0,0,2,0,0
2018-04-23,281,0,0,1,0,0,0
2018-04-24,270,0,0,0,0,0,0
2018-04-25,289,0,0,0,1,0,0
2018-04-26,294,0,0,0,1,1,0
2018-04-27,301,0,0,0,1,1,0
2018-04-28,271,0,0,0,0,0,0
2018-04-29,238,0,0,0,2,0,0
2018-04-30,282,0,0,0,0,0,0
2018-05-01,254,0,0,0,1,1,0
2018-05-02,257,0,0,0,2,0,0
2018-05-03,296,0,0,0,2,2,0
2018-05-04,286,0,0,0,1,1,0
2018-05-05,300,0,0,2,1,0,0
2018-05-06,260,0,0,0,1,3,0
2018-05-07,323,0,0,0,4,2,0
2018-05-08,245,0,0,0,0,2,0
2018-05-09,283,0,0,0,1,3,0
2018-05-10,261,0,0,2,0,0,0
2018-05-11,321,0,0,0,1,1,0
2018-05-12,313,0,0,0,1,1,0
2018-05-13,285,0,0,0,2,2,0
2018-05-14,273,0,0,0,0,3,0
2018-05-15,287,0,0,0,0,2,0
2018-05-16,285,0,0,0,2,2,0
2018-05-17,297,0,0,0,3,1,0
2018-05-18,308,0,0,0,1,1,0
2018-05-19,298,0,0,0,2,1,0
2018-05-20,307,0,0,0,3,0,0
2018-05-21,306,0,0,1,0,1,0
2018-05-22,295,0,0,0,0,5,0
2018-05-23,291,0,0,0,1,3,0
2018-05-24,297,0,0,0,1,2,0
2018-05-25,309,0,0,0,2,1,0
2018-05-26,273,0,0,1,1,2,0
2018-05-27,293,0,0,1,1,1,0
2018-05-28,290,0,0,0,0,2,0
2018-05-29,316,0,0,0,2,1,0
2018-05-30,308,0,0,0,1,3,0
