DATA_OBITO,OUTRAS,COVID - MS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,25,0,0,4,9,6,0
2018-01-02,17,0,0,3,9,4,0
2018-01-03,21,0,0,2,10,4,0
2018-01-04,11,0,0,2,5,9,0
2018-01-05,18,0,1,3,10,2,0
2018-01-06,15,0,0,4,5,5,0
2018-01-07,17,0,0,2,10,1,0
2018-01-08,25,0,0,2,7,6,0
2018-01-09,26,0,0,4,6,4,0
2018-01-10,21,0,0,3,11,6,0
2018-01-11,22,0,0,5,11,2,0
2018-01-12,16,0,0,2,8,5,0
2018-01-13,21,0,0,5,6,6,0
2018-01-14,14,0,1,2,6,4,0
2018-01-15,22,0,0,2,8,4,0
2018-01-16,15,0,0,2,11,4,0
2018-01-17,19,0,0,2,7,5,0
2018-01-18,27,0,0,4,7,7,0
2018-01-19,23,0,0,4,5,5,0
2018-01-20,14,0,0,3,10,3,0
2018-01-21,15,0,0,6,6,0,1
2018-01-22,26,0,0,2,11,4,0
2018-01-23,23,0,0,4,10,6,0
2018-01-24,17,0,0,5,7,2,0
2018-01-25,19,0,0,3,9,5,0
2018-01-26,21,0,0,2,7,6,0
2018-01-27,18,0,1,4,10,5,0
2018-01-28,13,0,0,5,5,1,0
2018-01-29,16,0,0,5,13,4,0
2018-01-30,19,0,0,3,9,5,0
2018-01-31,20,0,1,2,9,1,0
2018-02-01,15,0,0,2,11,3,0
2018-02-02,19,0,0,5,6,2,0
2018-02-03,17,0,0,4,6,6,0
2018-02-04,15,0,0,6,8,3,0
2018-02-05,20,0,0,2,12,3,0
2018-02-06,22,0,1,1,5,4,0
2018-02-07,18,0,0,5,8,2,0
2018-02-08,21,0,1,5,4,8,0
2018-02-09,14,0,0,1,4,8,0
2018-02-10,29,0,0,5,6,5,1
2018-02-11,15,0,0,2,7,5,0
2018-02-12,16,0,1,5,10,3,0
2018-02-13,25,0,0,3,6,4,0
2018-02-14,26,0,1,1,9,8,0
2018-02-15,24,0,0,1,8,4,0
2018-02-16,23,0,0,3,8,6,0
2018-02-17,18,0,0,4,7,4,0
2018-02-18,20,0,0,4,6,2,0
2018-02-19,22,0,0,3,6,4,0
2018-02-20,17,0,1,5,5,0,2
2018-02-21,22,0,0,3,12,3,2
2018-02-22,24,0,1,2,8,5,0
2018-02-23,23,0,0,5,11,6,0
2018-02-24,17,0,0,2,8,3,0
2018-02-25,17,0,0,2,9,6,0
2018-02-26,27,0,0,3,6,5,0
2018-02-27,16,0,0,2,8,2,0
2018-02-28,23,0,0,5,7,7,0
2018-03-01,16,0,0,2,7,4,0
2018-03-02,22,0,0,6,12,6,1
2018-03-03,19,0,0,5,9,1,0
2018-03-04,16,0,1,6,10,2,0
2018-03-05,24,0,0,1,8,5,0
2018-03-06,19,0,0,3,14,5,0
2018-03-07,25,0,0,1,11,3,0
2018-03-08,18,0,0,1,21,9,0
2018-03-09,17,0,0,4,11,9,0
2018-03-10,26,0,0,4,7,9,0
2018-03-11,15,0,1,6,6,6,0
2018-03-12,13,0,0,3,12,4,0
2018-03-13,18,0,0,2,9,10,0
2018-03-14,22,0,1,3,14,4,0
2018-03-15,20,0,0,2,9,8,0
2018-03-16,26,0,0,5,9,2,0
2018-03-17,27,0,0,3,12,2,0
2018-03-18,26,0,0,3,6,2,0
2018-03-19,24,0,1,3,9,1,0
2018-03-20,26,0,0,3,12,7,0
2018-03-21,18,0,0,2,8,9,0
2018-03-22,19,0,0,2,12,5,0
2018-03-23,20,0,0,3,11,1,1
2018-03-24,27,0,1,5,7,6,0
2018-03-25,20,0,0,6,17,4,0
2018-03-26,22,0,0,4,9,3,0
2018-03-27,18,0,1,3,11,8,0
2018-03-28,20,0,0,5,14,6,0
2018-03-29,18,0,0,2,9,2,0
2018-03-30,22,0,0,1,10,7,0
2018-03-31,25,0,0,6,10,5,0
2018-04-01,23,0,1,2,4,4,0
2018-04-02,24,0,0,5,11,3,0
2018-04-03,21,0,0,2,4,7,1
2018-04-04,21,0,0,4,9,2,0
2018-04-05,22,0,0,6,12,3,0
2018-04-06,18,0,0,3,5,5,0
2018-04-07,18,0,0,6,9,11,0
2018-04-08,20,0,0,3,6,5,0
2018-04-09,27,0,0,3,4,6,0
2018-04-10,26,0,0,4,13,4,0
2018-04-11,26,0,0,4,6,6,0
2018-04-12,34,0,0,6,12,4,0
2018-04-13,19,0,0,5,15,2,0
2018-04-14,24,0,0,3,13,9,0
2018-04-15,21,0,0,3,7,6,0
2018-04-16,28,0,0,2,14,5,0
2018-04-17,19,0,0,4,13,2,0
2018-04-18,22,0,0,5,7,1,0
2018-04-19,22,0,0,4,7,7,0
2018-04-20,26,0,0,3,11,7,1
2018-04-21,25,0,0,2,5,5,0
2018-04-22,24,0,0,0,10,1,0
2018-04-23,16,0,1,3,9,5,1
2018-04-24,16,0,0,4,11,4,0
2018-04-25,17,0,0,7,15,5,0
2018-04-26,20,0,0,0,10,5,0
2018-04-27,22,0,0,4,9,2,0
2018-04-28,17,0,0,1,8,5,0
2018-04-29,11,0,0,5,8,4,1
2018-04-30,27,0,0,7,8,2,0
2018-05-01,21,0,1,2,10,4,0
2018-05-02,19,0,0,0,11,6,0
2018-05-03,11,0,0,7,9,2,0
2018-05-04,34,0,0,1,11,5,0
2018-05-05,19,0,0,1,9,11,0
2018-05-06,19,0,0,4,4,5,0
2018-05-07,28,0,0,1,13,11,0
2018-05-08,28,0,1,3,13,8,0
2018-05-09,23,0,0,3,12,4,0
2018-05-10,17,0,0,8,6,4,0
2018-05-11,18,0,0,4,12,4,0
2018-05-12,17,0,0,6,10,3,1
2018-05-13,22,0,1,2,12,9,0
2018-05-14,23,0,0,6,11,3,0
2018-05-15,16,0,0,7,9,5,0
2018-05-16,17,0,0,3,5,8,0
2018-05-17,16,0,0,6,7,7,0
2018-05-18,29,0,0,1,3,6,0
2018-05-19,25,0,0,4,4,3,0
2018-05-20,16,0,0,3,6,2,0
2018-05-21,35,0,0,6,7,5,0
2018-05-22,23,0,1,1,13,3,0
2018-05-23,23,0,0,5,12,4,0
2018-05-24,26,0,1,6,15,3,0
2018-05-25,24,0,0,3,11,4,0
2018-05-26,21,0,1,6,12,0,0
2018-05-27,23,0,1,5,15,5,0
2018-05-28,21,0,0,3,13,6,0
2018-05-29,24,0,1,4,12,9,0
2018-05-30,17,0,0,4,8,5,1
2018-05-31,23,0,0,7,15,3,0
2018-06-01,22,0,0,5,9,7,0
2018-06-02,21,0,0,3,12,5,0
2018-06-03,33,0,0,5,9,2,0
2018-06-04,18,0,0,6,7,2,0
2018-06-05,17,0,0,5,12,2,0
2018-06-06,33,0,0,3,7,6,0
2018-06-07,28,0,0,4,6,4,0
2018-06-08,23,0,0,2,13,7,0
2018-06-09,20,0,0,1,15,8,0
2018-06-10,20,0,0,9,9,4,0
2018-06-11,27,0,0,5,9,6,0
2018-06-12,16,0,0,1,10,3,0
2018-06-13,20,0,0,4,13,2,0
2018-06-14,18,0,0,7,12,4,0
2018-06-15,26,0,1,5,16,2,0
2018-06-16,37,0,0,6,15,2,0
2018-06-17,30,0,1,5,17,5,0
2018-06-18,25,0,0,1,19,7,0
2018-06-19,23,0,0,6,8,8,0
2018-06-20,23,0,0,3,17,8,0
2018-06-21,29,0,0,2,14,4,0
2018-06-22,21,0,0,3,11,7,0
2018-06-23,21,0,0,6,11,7,2
2018-06-24,27,0,1,3,11,8,0
2018-06-25,20,0,2,2,4,7,0
2018-06-26,16,0,0,3,10,1,0
2018-06-27,19,0,0,3,6,6,0
2018-06-28,18,0,0,1,6,7,0
2018-06-29,26,0,0,3,17,6,0
2018-06-30,18,0,0,1,12,6,0
2018-07-01,28,0,0,1,10,3,0
2018-07-02,23,0,0,1,13,6,0
2018-07-03,23,0,0,2,11,3,0
2018-07-04,28,0,1,4,13,4,0
2018-07-05,30,0,1,3,11,3,0
2018-07-06,22,0,0,4,11,2,0
2018-07-07,24,0,1,5,9,8,0
2018-07-08,32,0,0,4,6,6,0
2018-07-09,22,0,1,6,11,4,0
2018-07-10,27,0,0,3,17,1,0
2018-07-11,24,0,1,2,15,4,1
2018-07-12,16,0,0,7,17,9,0
2018-07-13,35,0,0,7,14,6,0
2018-07-14,24,0,0,3,10,3,0
2018-07-15,33,0,0,1,18,6,0
2018-07-16,23,0,0,5,14,4,1
2018-07-17,19,0,0,2,18,8,0
2018-07-18,27,0,0,3,13,3,0
2018-07-19,24,0,0,2,7,6,0
2018-07-20,22,0,0,2,8,7,0
2018-07-21,20,0,0,4,12,5,0
2018-07-22,24,0,0,11,12,6,0
2018-07-23,22,0,0,2,10,5,0
2018-07-24,23,0,0,1,9,4,0
2018-07-25,23,0,0,5,10,2,1
2018-07-26,13,0,0,6,13,5,0
2018-07-27,20,0,0,4,11,0,0
2018-07-28,13,0,2,4,11,4,3
2018-07-29,18,0,2,5,18,7,0
2018-07-30,23,0,0,1,7,9,0
2018-07-31,22,0,0,6,13,2,0
2018-08-01,19,0,0,3,7,5,0
2018-08-02,20,0,0,7,17,1,0
2018-08-03,21,0,0,3,7,3,0
2018-08-04,24,0,0,3,13,8,0
2018-08-05,19,0,0,5,9,6,0
2018-08-06,21,0,0,2,10,7,0
2018-08-07,19,0,3,5,4,3,0
2018-08-08,23,0,0,4,10,3,0
2018-08-09,22,0,0,4,7,3,0
2018-08-10,28,0,0,7,14,5,0
2018-08-11,24,0,0,8,18,2,0
2018-08-12,25,0,0,2,6,4,0
2018-08-13,18,0,1,2,12,5,0
2018-08-14,26,0,0,3,8,1,0
2018-08-15,17,0,0,3,6,2,0
2018-08-16,29,0,0,8,8,5,1
2018-08-17,24,0,0,6,9,5,0
2018-08-18,16,0,0,4,8,2,0
2018-08-19,22,0,1,7,14,4,0
2018-08-20,21,0,0,2,11,7,0
2018-08-21,25,0,0,1,8,7,0
2018-08-22,20,0,1,3,11,5,0
2018-08-23,25,0,1,3,7,1,0
2018-08-24,16,0,1,3,6,7,0
2018-08-25,22,0,0,2,11,6,1
2018-08-26,26,0,0,5,10,3,0
2018-08-27,31,0,1,5,13,8,0
2018-08-28,22,0,1,5,18,6,0
2018-08-29,19,0,1,0,6,5,0
2018-08-30,24,0,0,4,14,4,1
2018-08-31,22,0,0,5,13,0,0
2018-09-01,18,0,0,2,12,4,0
2018-09-02,17,0,1,5,12,2,0
2018-09-03,24,0,0,2,7,3,0
2018-09-04,22,0,0,1,8,8,0
2018-09-05,19,0,2,7,8,7,0
2018-09-06,25,0,1,4,11,4,0
2018-09-07,15,0,0,9,8,6,0
