DATA_OBITO,OUTRAS,COVID - PA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,22,0,0,3,6,0,0
2018-01-02,21,0,0,2,4,2,0
2018-01-03,22,0,1,3,6,6,0
2018-01-04,14,0,1,4,13,8,0
2018-01-05,17,0,0,6,5,4,0
2018-01-06,22,0,0,0,8,3,0
2018-01-07,23,0,0,2,5,2,0
2018-01-08,24,0,0,5,1,1,0
2018-01-09,19,0,0,5,11,4,0
2018-01-10,15,0,0,3,8,6,0
2018-01-11,20,0,1,3,4,6,0
2018-01-12,15,0,0,5,8,5,0
2018-01-13,14,0,0,2,6,1,0
2018-01-14,15,0,0,2,5,3,0
2018-01-15,22,0,0,3,11,3,0
2018-01-16,19,0,0,8,4,8,0
2018-01-17,18,0,0,3,4,6,0
2018-01-18,21,0,0,2,9,6,0
2018-01-19,16,0,1,5,5,3,0
2018-01-20,16,0,1,3,8,9,0
2018-01-21,20,0,0,3,6,3,0
2018-01-22,24,0,1,2,3,3,0
2018-01-23,11,0,0,4,1,3,0
2018-01-24,23,0,1,1,8,3,0
2018-01-25,17,0,0,2,7,4,0
2018-01-26,19,0,1,1,6,6,0
2018-01-27,25,0,0,3,6,2,0
2018-01-28,15,0,0,2,5,2,0
2018-01-29,22,0,1,1,6,3,0
2018-01-30,22,0,0,9,4,1,0
2018-01-31,15,0,0,4,7,5,0
2018-02-01,20,0,0,7,6,7,0
2018-02-02,10,0,0,6,9,6,0
2018-02-03,14,0,0,2,2,4,0
2018-02-04,16,0,1,2,6,4,0
2018-02-05,23,0,0,4,2,2,0
2018-02-06,17,0,0,1,4,5,0
2018-02-07,18,0,0,2,5,5,0
2018-02-08,16,0,0,1,3,3,0
2018-02-09,12,0,0,4,3,2,0
2018-02-10,19,0,0,2,4,1,0
2018-02-11,14,0,0,1,1,2,0
2018-02-12,10,0,1,1,6,3,0
2018-02-13,12,0,0,4,5,0,0
2018-02-14,12,0,0,3,3,4,1
2018-02-15,16,0,0,1,6,4,0
2018-02-16,16,0,0,7,2,5,1
2018-02-17,19,0,0,3,3,1,0
2018-02-18,23,0,0,6,7,0,0
2018-02-19,18,0,1,0,6,5,0
2018-02-20,13,0,0,4,7,1,0
2018-02-21,11,0,0,4,12,4,0
2018-02-22,19,0,0,3,4,6,0
2018-02-23,12,0,0,3,3,9,0
2018-02-24,16,0,1,2,2,4,0
2018-02-25,20,0,1,7,3,2,0
2018-02-26,14,0,0,1,4,2,0
2018-02-27,15,0,1,4,5,2,0
2018-02-28,13,0,0,2,6,2,0
2018-03-01,13,0,0,3,9,6,0
2018-03-02,14,0,0,2,5,2,0
2018-03-03,16,0,1,5,5,7,0
2018-03-04,26,0,0,0,3,5,0
2018-03-05,18,0,0,5,7,5,0
2018-03-06,19,0,0,5,4,8,0
2018-03-07,16,0,0,7,10,5,0
2018-03-08,19,0,0,3,7,9,0
2018-03-09,23,0,0,1,4,6,0
2018-03-10,16,0,1,1,7,3,0
2018-03-11,20,0,0,3,6,6,0
2018-03-12,13,0,0,3,5,6,0
2018-03-13,20,0,0,3,4,7,0
2018-03-14,14,0,0,1,5,1,0
2018-03-15,16,0,0,2,6,3,0
2018-03-16,21,0,0,2,5,6,0
2018-03-17,18,0,0,4,3,6,0
2018-03-18,25,0,0,8,4,4,0
2018-03-19,20,0,0,3,6,4,2
2018-03-20,12,0,0,3,8,6,0
2018-03-21,14,0,0,5,7,4,0
2018-03-22,23,0,1,3,3,5,0
2018-03-23,18,0,0,0,4,4,0
2018-03-24,13,0,0,4,4,7,0
2018-03-25,16,0,0,1,3,5,0
2018-03-26,20,0,0,2,4,7,0
2018-03-27,17,0,1,5,4,4,0
2018-03-28,19,0,0,2,5,6,0
2018-03-29,14,0,0,5,11,4,0
2018-03-30,18,0,0,3,9,4,0
2018-03-31,19,0,0,4,6,9,0
2018-04-01,21,0,0,6,14,4,0
2018-04-02,21,0,1,6,8,2,1
2018-04-03,23,0,0,2,4,4,0
2018-04-04,11,0,0,9,4,0,1
2018-04-05,18,0,1,4,9,2,0
2018-04-06,24,0,0,5,11,2,0
2018-04-07,27,0,0,7,10,3,0
2018-04-08,15,0,0,4,6,2,0
2018-04-09,31,0,0,2,11,2,0
2018-04-10,16,0,1,5,12,3,0
2018-04-11,31,0,0,8,14,3,0
2018-04-12,24,0,0,2,10,3,0
2018-04-13,26,0,0,4,8,5,1
2018-04-14,27,0,0,0,11,3,0
2018-04-15,24,0,1,6,8,8,0
2018-04-16,26,0,0,5,7,4,0
2018-04-17,22,0,2,2,12,3,0
2018-04-18,22,0,2,5,11,1,0
2018-04-19,22,0,1,3,9,6,0
2018-04-20,19,0,0,3,13,6,1
2018-04-21,27,0,0,5,13,4,0
2018-04-22,25,0,0,4,17,3,0
2018-04-23,19,0,0,3,10,5,0
2018-04-24,15,0,0,1,12,3,0
2018-04-25,24,0,0,4,6,3,0
2018-04-26,24,0,1,6,11,3,0
2018-04-27,25,0,1,2,6,6,0
2018-04-28,14,0,0,4,10,6,0
2018-04-29,28,0,0,3,17,9,0
2018-04-30,30,0,0,1,10,5,0
2018-05-01,23,0,0,7,9,7,0
2018-05-02,19,0,0,3,5,3,0
2018-05-03,12,0,0,3,4,3,1
2018-05-04,20,0,0,5,6,3,0
2018-05-05,27,0,1,4,9,4,0
2018-05-06,20,0,0,4,8,3,0
2018-05-07,18,0,0,2,9,3,0
