DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,38,0,0,3,7,8,0
2018-01-02,42,0,0,7,6,10,1
2018-01-03,30,0,1,6,9,3,0
2018-01-04,40,0,0,9,10,5,0
2018-01-05,37,0,0,4,13,13,0
2018-01-06,34,0,2,5,11,5,0
2018-01-07,48,0,0,4,11,11,0
2018-01-08,35,0,0,7,12,10,0
2018-01-09,33,0,0,7,7,10,0
2018-01-10,37,0,0,5,9,15,0
2018-01-11,38,0,1,7,11,9,0
2018-01-12,33,0,0,6,11,11,0
2018-01-13,25,0,0,5,15,10,0
2018-01-14,34,0,1,3,8,7,0
2018-01-15,37,0,1,10,6,8,0
2018-01-16,44,0,1,6,11,3,0
2018-01-17,33,0,0,14,5,9,0
2018-01-18,36,0,2,8,17,9,0
2018-01-19,43,0,0,5,12,9,0
2018-01-20,32,0,0,6,15,7,0
2018-01-21,25,0,1,7,11,6,1
2018-01-22,30,0,1,6,13,8,0
2018-01-23,27,0,1,3,10,6,0
2018-01-24,36,0,0,4,8,9,0
2018-01-25,35,0,1,5,9,11,0
2018-01-26,35,0,1,8,8,11,0
2018-01-27,30,0,1,8,10,6,0
2018-01-28,36,0,0,5,9,8,0
2018-01-29,24,0,0,7,12,11,0
2018-01-30,36,0,0,4,12,3,0
2018-01-31,30,0,1,8,10,6,0
2018-02-01,42,0,0,13,8,7,0
2018-02-02,33,0,0,5,14,7,0
2018-02-03,34,0,0,9,12,9,1
2018-02-04,38,0,0,11,13,14,0
2018-02-05,51,0,1,5,11,7,0
2018-02-06,33,0,0,13,6,7,0
2018-02-07,36,0,0,10,13,12,1
2018-02-08,34,0,0,10,12,15,0
2018-02-09,33,0,1,5,11,7,0
2018-02-10,39,0,0,8,12,14,0
2018-02-11,33,0,1,3,8,6,0
2018-02-12,38,0,0,10,8,10,0
2018-02-13,41,0,0,5,10,12,0
2018-02-14,40,0,1,9,9,11,0
2018-02-15,34,0,1,4,6,2,0
2018-02-16,38,0,0,6,19,5,1
2018-02-17,30,0,2,8,8,6,0
2018-02-18,26,0,0,5,9,16,0
2018-02-19,38,0,0,5,7,11,0
2018-02-20,42,0,0,5,10,13,0
2018-02-21,29,0,1,6,6,7,0
2018-02-22,26,0,1,4,11,4,0
2018-02-23,31,0,0,4,6,11,0
2018-02-24,39,0,0,9,8,9,0
2018-02-25,36,0,1,5,18,5,0
2018-02-26,36,0,2,4,15,13,0
2018-02-27,44,0,1,4,2,10,0
2018-02-28,28,0,0,8,5,11,0
2018-03-01,29,0,1,7,15,12,0
2018-03-02,25,0,0,10,14,9,0
2018-03-03,34,0,0,4,9,10,0
2018-03-04,30,0,1,8,7,10,0
2018-03-05,40,0,0,4,8,6,0
2018-03-06,33,0,0,6,13,6,0
2018-03-07,33,0,0,6,8,12,0
2018-03-08,33,0,0,5,13,10,0
2018-03-09,37,0,0,8,11,10,0
2018-03-10,39,0,0,8,15,10,0
