DATA_OBITO,OUTRAS,COVID - PE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,108,0,3,11,14,35,0
2018-01-02,92,0,1,12,18,36,0
2018-01-03,89,0,1,12,18,35,0
2018-01-04,79,0,0,12,19,37,0
2018-01-05,80,0,0,9,23,43,1
2018-01-06,86,0,0,2,12,37,0
2018-01-07,82,0,2,9,26,31,0
2018-01-08,68,0,1,15,19,27,0
2018-01-09,80,0,0,8,17,42,0
2018-01-10,69,0,2,12,19,40,1
2018-01-11,81,0,1,17,18,27,0
2018-01-12,98,0,0,15,20,35,0
2018-01-13,89,0,1,11,18,40,0
2018-01-14,88,0,0,13,19,32,0
2018-01-15,76,0,1,6,19,25,1
2018-01-16,82,0,3,14,18,28,0
2018-01-17,80,0,0,8,23,41,0
2018-01-18,84,0,0,13,20,51,0
2018-01-19,79,0,2,12,19,31,0
2018-01-20,91,0,1,15,15,39,0
2018-01-21,82,0,3,7,20,32,0
2018-01-22,103,0,1,11,24,27,0
2018-01-23,78,0,0,16,13,30,0
2018-01-24,94,0,0,12,20,36,0
2018-01-25,66,0,1,8,14,21,0
2018-01-26,66,0,0,16,19,22,0
2018-01-27,81,0,0,12,11,40,0
2018-01-28,81,0,3,14,20,26,0
2018-01-29,87,0,1,14,21,43,0
2018-01-30,72,0,3,9,8,28,0
2018-01-31,77,0,0,15,21,29,0
2018-02-01,81,0,2,13,13,38,0
2018-02-02,77,0,0,16,10,36,1
2018-02-03,101,0,0,17,13,30,0
2018-02-04,96,0,4,11,20,28,0
2018-02-05,78,0,2,12,22,48,0
2018-02-06,71,0,0,17,17,36,0
2018-02-07,77,0,0,12,15,33,0
2018-02-08,80,0,0,15,21,36,0
2018-02-09,77,0,1,12,18,27,0
2018-02-10,81,0,0,14,17,38,0
2018-02-11,85,0,1,12,13,34,0
2018-02-12,80,0,1,17,27,28,0
2018-02-13,85,0,6,10,16,49,0
2018-02-14,66,0,0,15,12,44,0
2018-02-15,99,0,0,8,7,28,0
2018-02-16,76,0,0,10,24,39,0
2018-02-17,86,0,1,11,24,45,0
2018-02-18,82,0,1,12,15,27,0
2018-02-19,88,0,2,12,19,35,0
2018-02-20,84,0,0,10,13,32,0
2018-02-21,81,0,1,8,12,26,0
2018-02-22,78,0,3,7,18,34,0
2018-02-23,90,0,0,9,20,33,0
2018-02-24,94,0,1,10,21,43,1
2018-02-25,92,0,1,8,19,39,0
2018-02-26,83,0,1,10,10,37,0
2018-02-27,78,0,0,15,14,33,0
2018-02-28,87,0,1,10,13,37,1
2018-03-01,92,0,2,17,16,35,0
2018-03-02,75,0,0,18,16,29,0
2018-03-03,78,0,1,16,21,33,0
2018-03-04,83,0,2,9,14,36,1
2018-03-05,66,0,1,18,15,22,0
2018-03-06,89,0,0,14,29,25,0
2018-03-07,75,0,0,9,10,34,0
2018-03-08,71,0,0,9,11,27,0
2018-03-09,76,0,0,7,9,25,0
2018-03-10,86,0,0,11,11,29,0
2018-03-11,79,0,1,19,15,32,0
2018-03-12,85,0,1,10,14,35,0
2018-03-13,84,0,0,13,10,39,0
2018-03-14,75,0,1,21,25,39,0
2018-03-15,85,0,0,14,19,32,0
2018-03-16,80,0,0,6,18,29,0
2018-03-17,84,0,3,14,22,33,0
2018-03-18,71,0,0,18,24,39,0
2018-03-19,74,0,2,9,20,41,0
2018-03-20,86,0,4,14,18,41,0
2018-03-21,75,0,0,17,21,39,0
2018-03-22,75,0,1,10,20,37,0
2018-03-23,94,0,0,16,19,38,1
2018-03-24,83,0,0,13,30,24,0
2018-03-25,83,0,0,10,25,27,0
2018-03-26,79,0,0,9,21,34,1
2018-03-27,89,0,1,14,26,31,0
2018-03-28,108,0,3,9,14,36,0
2018-03-29,69,0,1,15,28,34,0
2018-03-30,81,0,1,12,14,29,2
2018-03-31,89,0,3,13,21,32,0
2018-04-01,84,0,2,11,17,28,0
2018-04-02,85,0,0,11,20,39,0
2018-04-03,82,0,0,10,19,32,0
2018-04-04,79,0,0,14,21,42,0
2018-04-05,85,0,4,22,18,36,0
2018-04-06,90,0,3,10,25,28,0
2018-04-07,108,0,0,10,18,27,0
2018-04-08,100,0,2,17,33,27,0
2018-04-09,89,0,2,10,25,35,0
2018-04-10,90,0,3,9,22,37,0
2018-04-11,67,0,1,11,17,29,1
2018-04-12,83,0,2,15,20,38,0
2018-04-13,75,0,3,18,24,29,0
2018-04-14,107,0,2,7,16,30,0
2018-04-15,81,0,2,14,26,36,0
2018-04-16,85,0,1,21,14,45,0
2018-04-17,85,0,1,21,17,42,0
2018-04-18,92,0,2,15,24,42,0
2018-04-19,90,0,1,16,17,38,0
2018-04-20,82,0,1,23,27,35,0
2018-04-21,87,0,2,13,25,26,0
2018-04-22,85,0,0,11,22,31,0
2018-04-23,98,0,1,15,28,36,0
2018-04-24,93,0,2,12,27,30,0
2018-04-25,87,0,0,14,28,37,1
2018-04-26,106,0,0,20,26,36,1
2018-04-27,102,0,0,22,31,38,0
2018-04-28,72,0,0,14,27,46,0
2018-04-29,107,0,0,17,29,43,0
2018-04-30,106,0,2,11,30,43,0
2018-05-01,102,0,1,20,22,47,0
2018-05-02,105,0,0,13,17,46,0
2018-05-03,82,0,3,14,25,27,0
2018-05-04,101,0,1,14,44,45,0
2018-05-05,92,0,0,15,23,42,1
2018-05-06,109,0,1,9,23,36,0
2018-05-07,96,0,2,26,26,43,0
2018-05-08,92,0,1,18,30,36,0
2018-05-09,81,0,1,12,23,45,0
2018-05-10,92,0,2,16,28,22,0
2018-05-11,95,0,2,13,35,28,1
2018-05-12,99,0,2,11,28,35,0
2018-05-13,92,0,1,15,23,33,1
2018-05-14,101,0,3,14,28,34,0
2018-05-15,78,0,1,14,19,41,1
2018-05-16,83,0,2,17,22,33,0
2018-05-17,82,0,1,24,17,47,0
2018-05-18,87,0,1,9,37,36,1
2018-05-19,82,0,1,9,36,43,0
