DATA_OBITO,OUTRAS,COVID - PI,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,17,0,0,4,6,2,0
2018-01-02,21,0,1,6,3,4,0
2018-01-03,20,0,1,5,3,1,0
2018-01-04,10,0,0,3,2,2,0
2018-01-05,17,0,0,1,4,4,0
2018-01-06,14,0,0,2,4,4,0
2018-01-07,11,0,0,6,5,0,0
2018-01-08,17,0,0,5,3,0,0
2018-01-09,12,0,0,3,5,4,0
2018-01-10,9,0,0,1,4,4,0
2018-01-11,12,0,0,2,3,0,0
2018-01-12,10,0,0,4,6,1,0
2018-01-13,10,0,0,3,8,5,0
2018-01-14,11,0,0,4,3,2,0
2018-01-15,20,0,0,6,10,1,0
2018-01-16,14,0,0,5,2,5,0
2018-01-17,14,0,0,4,7,3,0
2018-01-18,9,0,0,2,1,4,0
2018-01-19,10,0,0,6,5,4,0
2018-01-20,14,0,0,5,5,1,0
2018-01-21,14,0,0,4,7,3,0
2018-01-22,11,0,0,2,3,2,0
2018-01-23,16,0,0,3,4,4,0
2018-01-24,15,0,0,3,5,5,0
2018-01-25,19,0,1,2,5,3,0
2018-01-26,9,0,0,2,2,0,0
2018-01-27,14,0,0,4,2,2,0
2018-01-28,10,0,1,7,6,7,0
2018-01-29,14,0,0,7,3,6,0
2018-01-30,15,0,0,3,3,2,0
2018-01-31,17,0,0,6,3,4,0
2018-02-01,15,0,0,4,11,3,0
2018-02-02,19,0,0,9,6,4,0
2018-02-03,12,0,0,2,4,5,0
2018-02-04,13,0,0,4,3,3,0
2018-02-05,11,0,0,7,3,4,0
2018-02-06,11,0,0,4,3,6,0
2018-02-07,17,0,0,5,2,2,0
2018-02-08,11,0,1,4,6,1,0
2018-02-09,15,0,0,3,8,1,0
2018-02-10,17,0,0,0,4,1,0
2018-02-11,13,0,0,7,5,4,0
2018-02-12,15,0,0,0,3,7,0
2018-02-13,16,0,0,2,4,1,0
2018-02-14,20,0,0,2,6,8,0
2018-02-15,16,0,0,5,2,4,0
2018-02-16,19,0,0,6,6,2,0
2018-02-17,15,0,0,5,3,2,0
2018-02-18,21,0,1,1,6,1,0
2018-02-19,13,0,0,7,4,2,0
2018-02-20,14,0,0,4,4,2,0
2018-02-21,7,0,0,1,6,8,0
2018-02-22,17,0,0,2,7,2,0
2018-02-23,11,0,0,5,6,0,0
2018-02-24,18,0,0,2,8,1,0
2018-02-25,21,0,0,2,7,1,0
2018-02-26,16,0,0,4,6,2,0
2018-02-27,11,0,0,5,2,1,0
2018-02-28,16,0,1,1,6,4,0
2018-03-01,19,0,1,5,4,2,0
2018-03-02,16,0,0,2,3,2,0
2018-03-03,17,0,0,5,7,2,0
2018-03-04,22,0,1,3,6,3,1
2018-03-05,11,0,0,6,1,6,0
2018-03-06,12,0,0,4,3,3,0
2018-03-07,8,0,0,3,7,4,0
2018-03-08,8,0,0,6,2,2,0
2018-03-09,11,0,0,2,4,3,0
2018-03-10,12,0,0,2,8,1,0
2018-03-11,10,0,1,0,8,1,0
2018-03-12,17,0,1,6,4,1,0
2018-03-13,15,0,0,2,3,0,0
2018-03-14,17,0,0,6,0,1,1
2018-03-15,11,0,0,3,4,3,0
2018-03-16,10,0,0,1,7,3,0
2018-03-17,25,0,0,0,3,2,0
2018-03-18,12,0,1,2,1,2,0
2018-03-19,12,0,0,2,5,3,0
2018-03-20,3,0,0,5,11,3,0
2018-03-21,11,0,1,3,6,4,0
2018-03-22,15,0,0,7,7,2,0
2018-03-23,8,0,0,1,4,1,0
2018-03-24,11,0,0,0,2,3,0
2018-03-25,11,0,0,6,7,4,0
2018-03-26,19,0,0,2,4,0,0
2018-03-27,12,0,0,5,5,2,0
2018-03-28,20,0,0,0,2,2,0
2018-03-29,17,0,0,7,7,2,0
2018-03-30,21,0,0,2,4,2,0
2018-03-31,18,0,0,4,5,6,0
2018-04-01,19,0,0,4,3,2,0
2018-04-02,25,0,0,6,7,1,0
2018-04-03,10,0,0,2,3,6,0
2018-04-04,10,0,0,5,6,2,0
2018-04-05,10,0,0,2,6,4,0
2018-04-06,13,0,0,7,4,0,0
2018-04-07,16,0,0,3,5,2,0
2018-04-08,21,0,0,3,6,5,0
2018-04-09,12,0,0,3,5,5,0
2018-04-10,17,0,0,9,8,4,1
2018-04-11,14,0,0,3,6,4,0
2018-04-12,15,0,0,3,3,3,0
2018-04-13,16,0,0,3,3,1,0
