DATA_OBITO,OUTRAS,COVID - PR,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,4,0,0,2,2,1,0
2018-01-02,9,0,0,2,4,1,0
2018-01-03,6,0,0,1,3,0,0
2018-01-04,11,0,0,0,1,2,0
2018-01-05,7,0,0,1,1,0,0
2018-01-06,7,0,0,1,0,2,0
2018-01-07,3,0,0,3,1,1,0
2018-01-08,5,0,0,0,2,1,0
2018-01-09,10,0,0,1,0,0,0
2018-01-10,5,0,0,0,1,3,0
2018-01-11,9,0,0,0,2,0,0
2018-01-12,6,0,0,1,0,3,0
2018-01-13,2,0,0,0,1,1,0
2018-01-14,3,0,0,2,4,0,0
2018-01-15,7,0,0,0,2,0,0
2018-01-16,7,0,0,0,0,0,0
2018-01-17,3,0,0,1,1,0,0
2018-01-18,1,0,0,0,1,0,0
2018-01-19,1,0,0,0,0,0,0
2018-01-20,5,0,0,3,1,1,0
2018-01-21,6,0,0,1,1,0,0
2018-01-22,10,0,0,0,1,2,0
2018-01-23,2,0,0,1,1,0,0
2018-01-24,8,0,0,1,2,1,0
2018-01-25,4,0,0,1,1,0,0
2018-01-26,8,0,0,3,0,1,0
2018-01-27,6,0,0,1,1,0,0
2018-01-28,4,0,0,0,2,1,0
2018-01-29,9,0,1,2,2,1,0
2018-01-30,7,0,0,0,1,1,0
2018-01-31,7,0,0,0,2,0,0
2018-02-01,4,0,0,1,2,1,0
2018-02-02,5,0,0,0,2,0,0
2018-02-03,5,0,1,2,0,1,0
2018-02-04,5,0,0,0,1,0,0
2018-02-05,5,0,0,2,1,1,0
2018-02-06,9,0,0,1,1,2,0
2018-02-07,10,0,0,0,0,1,0
2018-02-08,4,0,0,0,1,5,0
2018-02-09,11,0,0,0,2,1,0
2018-02-10,6,0,0,0,0,0,0
2018-02-11,2,0,0,0,2,0,0
2018-02-12,6,0,0,0,2,0,0
2018-02-13,7,0,0,1,3,1,0
2018-02-14,6,0,0,0,1,1,0
2018-02-15,7,0,0,0,2,0,0
2018-02-16,10,0,0,0,0,1,0
2018-02-17,11,0,1,2,1,1,0
2018-02-18,8,0,0,2,0,1,0
2018-02-19,4,0,0,0,4,0,0
2018-02-20,9,0,0,2,2,2,0
2018-02-21,13,0,0,2,2,1,0
2018-02-22,10,0,0,3,6,5,0
2018-02-23,15,0,0,1,3,2,0
2018-02-24,15,0,0,0,2,4,0
2018-02-25,15,0,0,3,2,3,0
2018-02-26,24,0,0,2,9,6,1
2018-02-27,41,0,1,5,5,6,0
2018-02-28,36,0,0,5,17,11,1
2018-03-01,57,0,1,5,19,25,0
2018-03-02,78,0,0,7,21,22,0
2018-03-03,66,0,2,15,23,20,0
2018-03-04,66,0,5,4,15,13,0
2018-03-05,65,0,2,20,20,19,0
2018-03-06,73,0,3,7,22,14,0
2018-03-07,53,0,2,16,21,12,0
2018-03-08,81,0,0,11,17,13,0
2018-03-09,90,0,0,11,25,13,0
2018-03-10,80,0,2,13,23,20,0
2018-03-11,86,0,0,12,22,14,0
2018-03-12,89,0,0,14,24,16,0
2018-03-13,77,0,1,10,24,13,0
2018-03-14,59,0,0,13,26,15,0
2018-03-15,65,0,2,11,20,15,0
2018-03-16,63,0,0,10,23,16,0
2018-03-17,74,0,0,18,18,32,0
2018-03-18,75,0,1,14,23,13,0
2018-03-19,79,0,0,8,28,17,0
2018-03-20,60,0,0,10,26,19,0
2018-03-21,66,0,0,13,22,19,0
2018-03-22,73,0,1,11,19,19,0
2018-03-23,70,0,0,8,16,17,0
2018-03-24,74,0,1,11,11,15,0
2018-03-25,79,0,1,7,24,15,0
2018-03-26,73,0,2,10,18,16,0
2018-03-27,71,0,0,12,27,23,0
2018-03-28,84,0,0,10,19,21,0
2018-03-29,81,0,1,11,22,13,0
2018-03-30,84,0,1,10,27,14,0
2018-03-31,75,0,1,13,21,15,0
2018-04-01,90,0,2,16,24,14,0
2018-04-02,70,0,0,9,20,15,1
2018-04-03,83,0,2,14,23,19,0
2018-04-04,96,0,3,8,20,23,0
2018-04-05,88,0,3,5,16,5,0
2018-04-06,85,0,1,17,24,23,0
2018-04-07,93,0,1,6,24,31,0
2018-04-08,75,0,0,11,28,17,0
2018-04-09,88,0,0,9,23,26,2
2018-04-10,81,0,0,9,20,22,0
2018-04-11,82,0,0,13,17,19,0
2018-04-12,87,0,0,11,28,29,1
2018-04-13,93,0,1,9,22,12,1
2018-04-14,69,0,1,18,10,19,1
2018-04-15,69,0,0,5,20,17,0
2018-04-16,79,0,0,11,20,17,0
2018-04-17,67,0,1,11,22,25,0
2018-04-18,75,0,0,10,31,18,0
2018-04-19,86,0,0,11,29,17,0
2018-04-20,81,0,1,12,18,22,0
2018-04-21,82,0,2,6,21,17,1
2018-04-22,60,0,2,5,16,17,1
2018-04-23,82,0,0,10,32,21,0
2018-04-24,75,0,0,9,17,16,0
2018-04-25,67,0,0,12,24,18,0
2018-04-26,80,0,2,11,27,15,0
2018-04-27,73,0,2,6,24,24,0
2018-04-28,72,0,0,5,33,17,0
2018-04-29,71,0,2,10,31,18,1
2018-04-30,68,0,1,10,37,25,0
2018-05-01,79,0,1,8,25,23,1
2018-05-02,80,0,0,10,31,20,0
2018-05-03,80,0,1,10,35,19,0
2018-05-04,92,0,2,15,19,20,0
2018-05-05,76,0,2,9,32,9,0
2018-05-06,98,0,1,20,25,24,1
2018-05-07,95,0,3,10,27,18,0
2018-05-08,66,0,0,12,21,21,0
2018-05-09,85,0,0,10,17,22,1
2018-05-10,78,0,0,17,23,11,1
2018-05-11,85,0,2,16,24,15,0
2018-05-12,77,0,1,16,34,15,1
2018-05-13,81,0,3,13,22,22,0
2018-05-14,78,0,1,16,19,17,1
2018-05-15,94,0,2,12,33,19,0
2018-05-16,79,0,1,15,29,16,0
2018-05-17,86,0,1,9,18,23,0
2018-05-18,88,0,0,12,26,27,0
2018-05-19,100,0,1,12,33,22,0
2018-05-20,85,0,3,14,26,14,0
2018-05-21,86,0,1,15,30,20,0
2018-05-22,94,0,3,21,30,23,0
2018-05-23,87,0,0,11,32,22,0
2018-05-24,111,0,0,19,35,21,0
2018-05-25,97,0,0,10,35,15,1
2018-05-26,99,0,2,15,19,14,0
2018-05-27,109,0,0,16,25,25,1
2018-05-28,85,0,1,15,28,21,0
2018-05-29,78,0,2,19,30,24,1
