DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,191,0,4,19,58,60,0
2018-01-02,208,0,1,19,65,69,0
2018-01-03,196,0,2,19,83,56,0
2018-01-04,200,0,0,37,69,64,0
2018-01-05,178,0,0,24,64,51,0
2018-01-06,196,0,3,24,64,59,0
2018-01-07,217,0,2,25,57,52,0
2018-01-08,171,0,0,34,58,67,0
2018-01-09,180,0,3,24,79,54,0
2018-01-10,188,0,2,35,51,73,1
2018-01-11,184,0,1,23,70,71,2
2018-01-12,193,0,1,22,77,65,1
2018-01-13,189,0,2,24,64,64,0
2018-01-14,190,0,2,29,69,60,0
2018-01-15,217,0,1,26,72,64,0
2018-01-16,213,0,2,24,61,68,0
2018-01-17,207,0,4,32,50,57,0
2018-01-18,219,0,0,40,82,62,0
2018-01-19,240,0,0,31,73,57,0
2018-01-20,210,0,3,39,71,82,0
2018-01-21,202,0,0,22,57,79,0
2018-01-22,206,0,1,25,65,68,0
2018-01-23,197,0,0,31,70,49,0
2018-01-24,218,0,0,26,64,62,0
2018-01-25,206,0,1,28,72,67,0
2018-01-26,195,0,0,24,80,57,0
2018-01-27,185,0,0,23,49,56,0
2018-01-28,196,0,0,23,52,66,0
2018-01-29,217,0,2,31,70,56,0
2018-01-30,192,0,0,24,55,53,0
2018-01-31,171,0,1,19,55,57,1
2018-02-01,203,0,1,31,62,55,0
2018-02-02,194,0,1,29,62,55,0
2018-02-03,194,0,0,26,64,70,1
2018-02-04,205,0,3,32,51,49,0
2018-02-05,196,0,1,20,68,66,0
2018-02-06,213,0,0,19,55,69,0
2018-02-07,199,0,0,37,58,65,0
2018-02-08,166,0,1,25,57,71,0
2018-02-09,197,0,4,28,53,45,0
2018-02-10,189,0,2,35,79,53,0
2018-02-11,218,0,3,22,47,66,0
2018-02-12,239,0,2,24,59,70,0
2018-02-13,186,0,1,27,56,73,0
2018-02-14,183,0,1,20,48,55,0
2018-02-15,198,0,1,26,63,57,0
2018-02-16,183,0,0,34,53,67,0
2018-02-17,182,0,2,21,61,60,1
2018-02-18,197,0,1,25,73,59,0
2018-02-19,211,0,1,30,56,49,1
2018-02-20,209,0,2,37,56,58,0
2018-02-21,189,0,1,29,61,43,0
2018-02-22,189,0,0,21,67,74,0
2018-02-23,186,0,0,24,60,66,0
2018-02-24,210,0,0,25,50,52,0
2018-02-25,207,0,3,24,55,53,0
2018-02-26,190,0,2,27,62,58,0
2018-02-27,196,0,1,23,58,59,0
2018-02-28,178,0,3,32,72,70,0
2018-03-01,205,0,0,22,66,73,0
2018-03-02,209,0,1,34,59,62,0
2018-03-03,201,0,1,22,58,80,0
2018-03-04,176,0,0,38,56,67,0
2018-03-05,192,0,1,30,59,55,0
2018-03-06,222,0,0,22,71,64,0
2018-03-07,214,0,0,25,72,67,0
2018-03-08,198,0,0,23,63,68,0
2018-03-09,194,0,1,30,54,59,1
2018-03-10,222,0,1,21,61,64,0
2018-03-11,198,0,2,25,61,63,0
2018-03-12,230,0,5,25,58,70,0
2018-03-13,208,0,2,31,67,67,0
2018-03-14,204,0,0,28,65,62,0
2018-03-15,217,0,2,33,70,68,0
2018-03-16,194,0,1,33,79,71,0
2018-03-17,219,0,2,30,75,59,1
2018-03-18,209,0,2,23,60,70,2
2018-03-19,227,0,0,26,65,80,0
2018-03-20,194,0,4,26,72,66,0
2018-03-21,203,0,1,25,63,71,0
2018-03-22,188,0,3,34,70,59,0
2018-03-23,209,0,0,31,54,56,0
2018-03-24,222,0,0,44,93,66,0
2018-03-25,217,0,1,28,78,74,0
2018-03-26,217,0,2,23,54,65,0
2018-03-27,189,0,2,36,69,69,0
2018-03-28,203,0,1,26,64,69,0
2018-03-29,204,0,1,19,78,57,0
2018-03-30,203,0,1,32,72,57,0
2018-03-31,196,0,0,34,81,76,0
2018-04-01,200,0,1,25,72,77,0
2018-04-02,210,0,2,31,77,53,0
2018-04-03,207,0,2,25,72,57,0
2018-04-04,210,0,1,29,76,51,0
2018-04-05,200,0,0,34,76,55,0
2018-04-06,206,0,0,31,58,67,1
2018-04-07,193,0,1,30,66,64,0
2018-04-08,166,0,1,26,55,63,0
2018-04-09,191,0,0,33,78,72,0
2018-04-10,183,0,0,34,66,63,0
2018-04-11,165,0,0,27,62,67,0
2018-04-12,196,0,1,37,61,70,0
2018-04-13,200,0,1,27,66,85,0
2018-04-14,183,0,1,31,67,71,1
2018-04-15,204,0,2,23,62,60,0
2018-04-16,209,0,3,26,62,66,0
2018-04-17,168,0,3,23,78,57,0
2018-04-18,201,0,0,27,57,59,0
2018-04-19,184,0,3,26,68,57,0
2018-04-20,210,0,2,31,60,71,0
2018-04-21,180,0,1,27,62,61,1
2018-04-22,216,0,2,28,76,70,0
2018-04-23,185,0,0,26,69,54,0
2018-04-24,185,0,1,29,57,64,2
2018-04-25,220,0,2,33,61,74,0
2018-04-26,211,0,3,28,54,67,0
2018-04-27,195,0,1,31,68,59,0
2018-04-28,195,0,1,31,68,62,0
2018-04-29,204,0,1,24,63,62,0
2018-04-30,203,0,0,25,64,64,0
