DATA_OBITO,OUTRAS,COVID - RN,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,26,0,0,1,9,6,0
2018-01-02,22,0,0,0,5,4,0
2018-01-03,13,0,1,2,9,3,0
2018-01-04,15,0,0,5,11,4,0
2018-01-05,17,0,3,1,11,3,0
2018-01-06,17,0,2,4,12,8,0
2018-01-07,27,0,0,3,9,10,0
2018-01-08,23,0,1,3,7,5,0
2018-01-09,14,0,1,4,2,0,0
2018-01-10,16,0,0,3,7,11,0
2018-01-11,14,0,0,4,9,4,0
2018-01-12,14,0,0,2,7,7,1
2018-01-13,13,0,0,5,1,3,0
2018-01-14,20,0,0,2,7,5,0
2018-01-15,16,0,0,4,8,5,0
2018-01-16,12,0,1,3,11,8,0
2018-01-17,22,0,1,2,3,3,0
2018-01-18,16,0,0,6,6,11,0
2018-01-19,23,0,1,4,4,8,0
2018-01-20,15,0,0,2,9,7,0
2018-01-21,25,0,0,3,3,4,0
2018-01-22,24,0,0,3,6,3,0
2018-01-23,28,0,1,4,9,8,0
2018-01-24,22,0,0,4,6,6,0
2018-01-25,22,0,1,4,1,9,0
2018-01-26,8,0,0,6,12,3,0
2018-01-27,24,0,0,2,7,4,0
2018-01-28,16,0,1,3,8,1,0
2018-01-29,24,0,0,1,7,3,0
2018-01-30,25,0,0,1,6,8,0
2018-01-31,17,0,0,3,7,6,0
2018-02-01,26,0,0,3,7,5,0
2018-02-02,18,0,0,1,4,3,0
2018-02-03,15,0,0,0,6,3,0
2018-02-04,14,0,0,2,4,6,0
2018-02-05,22,0,0,1,1,9,0
2018-02-06,19,0,0,3,5,7,0
2018-02-07,19,0,0,3,5,2,0
2018-02-08,15,0,0,1,8,8,0
2018-02-09,21,0,0,4,2,4,0
2018-02-10,17,0,0,3,7,1,0
2018-02-11,18,0,0,1,5,6,0
2018-02-12,17,0,0,1,6,6,0
2018-02-13,21,0,0,2,5,5,0
2018-02-14,24,0,0,0,2,3,0
2018-02-15,23,0,0,0,6,7,0
2018-02-16,15,0,0,2,8,3,0
2018-02-17,18,0,0,2,10,5,0
2018-02-18,14,0,0,0,6,4,0
2018-02-19,12,0,1,4,2,9,0
2018-02-20,21,0,0,1,5,2,0
2018-02-21,23,0,1,4,6,4,0
2018-02-22,18,0,0,2,4,3,0
2018-02-23,16,0,0,2,4,5,0
2018-02-24,24,0,0,3,12,5,0
2018-02-25,20,0,0,4,8,9,0
2018-02-26,26,0,0,5,8,9,0
2018-02-27,17,0,1,4,5,4,0
2018-02-28,23,0,0,3,8,7,0
2018-03-01,22,0,0,2,6,7,0
2018-03-02,18,0,0,2,10,11,0
2018-03-03,20,0,0,1,4,4,0
2018-03-04,21,0,0,1,10,5,0
2018-03-05,25,0,2,1,12,4,0
2018-03-06,26,0,1,1,11,4,0
2018-03-07,14,0,0,4,7,8,0
2018-03-08,26,0,0,2,8,6,1
2018-03-09,22,0,1,4,9,4,0
2018-03-10,24,0,0,2,9,1,0
2018-03-11,18,0,0,1,6,3,0
