DATA_OBITO,OUTRAS,COVID - RO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,12,0,0,1,4,5,0
2018-01-02,12,0,0,5,2,5,0
2018-01-03,15,0,0,1,3,1,0
2018-01-04,11,0,0,1,6,5,0
2018-01-05,13,0,0,0,0,5,0
2018-01-06,8,0,0,1,1,2,0
2018-01-07,13,0,0,1,3,4,0
2018-01-08,21,0,0,0,3,2,0
2018-01-09,9,0,0,2,3,4,0
2018-01-10,15,0,0,1,5,2,0
2018-01-11,16,0,0,2,3,3,0
2018-01-12,17,0,0,3,4,2,0
2018-01-13,12,0,0,2,6,5,0
2018-01-14,24,0,0,1,2,2,0
2018-01-15,20,0,0,1,3,3,0
2018-01-16,16,0,0,2,8,3,0
2018-01-17,18,0,0,0,2,2,0
2018-01-18,13,0,0,4,4,2,0
2018-01-19,10,0,0,1,4,4,0
2018-01-20,20,0,0,0,4,3,0
2018-01-21,9,0,0,1,6,2,0
2018-01-22,17,0,0,1,2,6,0
2018-01-23,12,0,0,2,1,3,0
2018-01-24,16,0,0,1,5,1,0
2018-01-25,10,0,1,1,3,5,0
2018-01-26,10,0,1,1,2,1,0
2018-01-27,5,0,0,3,2,3,0
2018-01-28,11,0,0,5,3,1,0
2018-01-29,6,0,0,0,4,3,0
2018-01-30,12,0,0,3,3,3,0
2018-01-31,12,0,0,2,2,1,1
2018-02-01,12,0,0,4,3,4,0
2018-02-02,11,0,0,2,2,1,0
2018-02-03,17,0,0,1,1,6,0
2018-02-04,6,0,0,1,4,3,0
2018-02-05,10,0,0,4,2,1,0
2018-02-06,12,0,0,4,5,0,0
2018-02-07,7,0,0,1,2,5,0
2018-02-08,10,0,0,0,1,2,0
2018-02-09,6,0,0,1,2,2,0
2018-02-10,16,0,0,3,0,4,0
2018-02-11,9,0,0,3,2,4,0
2018-02-12,10,0,0,0,4,0,0
2018-02-13,12,0,0,2,4,3,0
2018-02-14,7,0,0,2,1,1,0
2018-02-15,18,0,0,0,3,2,0
2018-02-16,11,0,0,0,2,6,0
2018-02-17,19,0,0,1,1,2,0
2018-02-18,13,0,0,2,3,4,0
2018-02-19,13,0,0,1,1,3,0
2018-02-20,8,0,0,0,4,3,0
2018-02-21,10,0,0,1,4,2,0
2018-02-22,11,0,0,0,3,1,0
2018-02-23,7,0,1,2,3,1,0
2018-02-24,14,0,0,3,4,2,0
2018-02-25,10,0,0,0,5,3,0
2018-02-26,9,0,0,1,3,1,0
2018-02-27,8,0,0,1,4,4,0
2018-02-28,11,0,0,1,7,1,0
2018-03-01,7,0,0,1,6,2,0
2018-03-02,9,0,0,1,3,4,0
2018-03-03,12,0,0,4,3,6,0
2018-03-04,12,0,0,1,4,4,0
2018-03-05,15,0,0,0,2,3,0
2018-03-06,15,0,1,2,6,5,0
2018-03-07,16,0,2,2,7,5,0
2018-03-08,10,0,0,2,1,2,0
2018-03-09,11,0,0,2,2,2,0
2018-03-10,6,0,0,2,1,2,0
2018-03-11,11,0,0,1,5,2,0
2018-03-12,9,0,0,1,2,5,0
2018-03-13,18,0,0,0,3,2,0
2018-03-14,9,0,0,2,3,3,0
2018-03-15,12,0,0,1,4,3,0
2018-03-16,10,0,0,2,6,2,0
2018-03-17,11,0,0,3,2,2,0
2018-03-18,14,0,0,1,2,4,0
2018-03-19,20,0,0,1,5,0,0
2018-03-20,13,0,0,2,2,5,0
2018-03-21,10,0,0,0,5,0,0
2018-03-22,12,0,0,0,4,2,0
2018-03-23,12,0,0,3,6,4,0
2018-03-24,11,0,0,3,3,6,0
2018-03-25,16,0,0,1,2,6,0
2018-03-26,15,0,0,0,0,3,0
2018-03-27,7,0,1,1,4,2,0
2018-03-28,12,0,0,1,3,3,0
2018-03-29,12,0,0,1,3,6,0
2018-03-30,8,0,0,1,0,3,0
