DATA_OBITO,OUTRAS,COVID - RS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,123,0,1,18,35,31,0
2018-01-02,108,0,2,20,41,19,0
2018-01-03,86,0,0,15,27,24,0
2018-01-04,105,0,2,12,35,29,1
2018-01-05,120,0,2,17,34,25,0
2018-01-06,89,0,1,17,23,30,1
2018-01-07,109,0,1,13,30,24,0
2018-01-08,102,0,0,14,28,21,0
2018-01-09,111,0,0,11,28,27,0
2018-01-10,96,0,1,19,29,28,0
2018-01-11,96,0,3,9,31,26,0
2018-01-12,96,0,0,17,22,27,0
2018-01-13,105,0,3,14,31,20,0
2018-01-14,98,0,1,13,24,20,0
2018-01-15,101,0,2,20,26,17,0
2018-01-16,108,0,0,18,39,22,0
2018-01-17,92,0,0,9,27,23,0
2018-01-18,95,0,0,11,31,30,0
2018-01-19,112,0,1,15,30,24,0
2018-01-20,98,0,0,15,40,23,0
2018-01-21,89,0,2,9,31,20,1
2018-01-22,103,0,1,14,21,26,0
2018-01-23,98,0,0,8,34,30,0
2018-01-24,110,0,1,22,28,21,0
2018-01-25,106,0,0,17,30,22,0
2018-01-26,101,0,1,10,28,23,0
2018-01-27,102,0,2,22,28,27,1
2018-01-28,89,0,0,12,31,18,0
2018-01-29,94,0,0,12,24,29,0
2018-01-30,89,0,0,14,29,29,0
2018-01-31,93,0,1,8,35,18,0
2018-02-01,101,0,1,14,20,20,0
2018-02-02,104,0,0,12,26,25,0
2018-02-03,102,0,5,15,25,30,1
2018-02-04,103,0,1,19,22,29,0
2018-02-05,103,0,2,14,36,29,2
2018-02-06,89,0,1,23,38,24,0
2018-02-07,90,0,1,14,27,21,0
2018-02-08,111,0,1,10,27,29,0
2018-02-09,112,0,0,10,29,18,0
2018-02-10,109,0,4,11,30,18,0
2018-02-11,102,0,0,13,23,27,0
2018-02-12,107,0,1,12,32,18,0
2018-02-13,86,0,0,18,26,27,0
2018-02-14,113,0,0,19,28,25,0
2018-02-15,100,0,0,15,26,24,0
2018-02-16,114,0,0,17,34,26,0
2018-02-17,108,0,3,16,29,19,0
2018-02-18,97,0,0,15,27,21,0
2018-02-19,101,0,0,20,23,26,0
2018-02-20,103,0,1,15,17,33,0
2018-02-21,111,0,0,12,32,29,0
2018-02-22,101,0,1,15,28,24,0
2018-02-23,112,0,1,11,21,19,0
2018-02-24,106,0,0,19,26,18,0
2018-02-25,83,0,1,18,29,25,0
2018-02-26,92,0,3,10,32,23,0
2018-02-27,95,0,1,21,23,31,0
2018-02-28,102,0,3,15,29,21,0
2018-03-01,97,0,3,19,27,34,0
2018-03-02,109,0,0,10,28,28,0
2018-03-03,101,0,1,14,25,31,1
2018-03-04,94,0,0,18,28,40,0
2018-03-05,111,0,0,12,28,30,0
