DATA_OBITO,OUTRAS,COVID - SC,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,44,0,0,5,16,10,0
2018-01-02,61,0,1,5,21,15,0
2018-01-03,46,0,0,16,14,15,0
2018-01-04,55,0,0,14,10,15,0
2018-01-05,63,0,0,7,20,13,0
2018-01-06,58,0,0,5,18,9,0
2018-01-07,51,0,0,4,8,14,0
2018-01-08,53,0,1,7,19,13,0
2018-01-09,49,0,1,10,15,10,0
2018-01-10,52,0,0,6,17,8,0
2018-01-11,61,0,0,4,16,17,0
2018-01-12,50,0,1,7,19,16,0
2018-01-13,47,0,0,7,16,7,0
2018-01-14,74,0,0,3,26,8,0
2018-01-15,65,0,0,6,23,11,0
2018-01-16,60,0,1,8,9,14,0
2018-01-17,53,0,0,6,9,3,0
2018-01-18,48,0,0,8,11,11,0
2018-01-19,47,0,1,6,14,21,0
2018-01-20,61,0,0,8,17,5,0
2018-01-21,50,0,1,8,16,6,0
2018-01-22,63,0,0,8,17,16,1
2018-01-23,45,0,0,5,15,12,1
2018-01-24,42,0,0,9,12,10,0
2018-01-25,59,0,0,8,21,10,0
2018-01-26,54,0,0,10,7,10,0
2018-01-27,37,0,0,11,21,13,0
2018-01-28,52,0,0,6,7,15,0
2018-01-29,57,0,0,11,18,14,0
2018-01-30,46,0,0,7,19,11,0
2018-01-31,61,0,0,14,12,12,1
2018-02-01,65,0,0,8,21,17,0
2018-02-02,47,0,1,12,14,15,0
2018-02-03,48,0,3,3,15,11,0
2018-02-04,53,0,0,10,15,7,0
2018-02-05,61,0,0,12,11,19,0
2018-02-06,65,0,1,6,12,16,0
2018-02-07,59,0,1,12,12,9,0
2018-02-08,52,0,0,6,16,15,0
2018-02-09,60,0,0,12,17,15,0
2018-02-10,54,0,1,10,12,14,0
2018-02-11,53,0,0,9,28,15,0
2018-02-12,63,0,0,8,20,13,0
2018-02-13,49,0,0,9,22,7,0
2018-02-14,52,0,1,4,16,11,0
2018-02-15,49,0,0,0,11,10,0
2018-02-16,52,0,0,7,10,11,0
2018-02-17,50,0,1,5,20,7,0
2018-02-18,58,0,0,12,12,6,0
2018-02-19,60,0,0,13,18,8,0
2018-02-20,53,0,1,8,17,14,0
2018-02-21,52,0,0,14,13,7,0
2018-02-22,57,0,0,13,14,19,0
2018-02-23,58,0,1,9,15,15,0
2018-02-24,44,0,0,6,15,13,0
2018-02-25,51,0,0,9,20,14,0
2018-02-26,52,0,0,8,21,8,0
2018-02-27,61,0,0,10,11,15,0
2018-02-28,54,0,0,7,19,14,0
2018-03-01,45,0,1,15,15,15,0
2018-03-02,59,0,0,8,16,17,0
2018-03-03,60,0,1,10,23,10,0
2018-03-04,48,0,1,3,14,15,0
2018-03-05,34,0,0,10,15,14,0
2018-03-06,42,0,0,7,8,14,0
2018-03-07,56,0,1,7,13,13,0
2018-03-08,50,0,1,5,14,13,0
2018-03-09,51,0,1,4,9,13,0
2018-03-10,61,0,0,5,13,13,0
2018-03-11,55,0,0,11,19,9,0
2018-03-12,63,0,1,13,23,10,0
2018-03-13,56,0,0,10,12,12,0
2018-03-14,74,0,1,11,12,12,0
2018-03-15,57,0,0,9,16,13,0
2018-03-16,68,0,0,4,18,15,0
2018-03-17,40,0,1,12,12,9,0
2018-03-18,57,0,2,11,11,7,0
2018-03-19,54,0,1,6,12,8,0
2018-03-20,42,0,0,12,13,16,0
2018-03-21,62,0,0,7,13,4,0
2018-03-22,64,0,0,5,19,6,0
2018-03-23,68,0,0,13,13,16,0
2018-03-24,60,0,2,8,20,14,0
2018-03-25,55,0,0,6,12,17,0
2018-03-26,57,0,1,7,11,11,0
2018-03-27,54,0,1,11,17,17,0
2018-03-28,60,0,0,12,21,7,1
2018-03-29,47,0,0,5,19,11,0
2018-03-30,60,0,2,15,12,17,0
2018-03-31,56,0,0,10,21,11,0
2018-04-01,53,0,0,10,11,13,0
2018-04-02,62,0,0,9,14,13,0
2018-04-03,65,0,0,7,16,11,0
2018-04-04,53,0,0,6,13,18,0
2018-04-05,62,0,0,4,14,12,0
2018-04-06,60,0,0,15,8,12,1
2018-04-07,62,0,0,9,16,18,0
2018-04-08,42,0,1,7,12,12,0
2018-04-09,54,0,1,8,23,16,0
2018-04-10,54,0,0,16,16,7,0
2018-04-11,57,0,2,6,13,13,1
2018-04-12,54,0,1,14,16,12,0
2018-04-13,63,0,2,10,14,15,1
2018-04-14,55,0,0,15,19,12,0
2018-04-15,55,0,0,11,13,15,0
2018-04-16,44,0,0,16,15,8,0
2018-04-17,55,0,0,3,12,8,0
2018-04-18,52,0,0,7,11,13,0
2018-04-19,64,0,0,7,11,12,0
2018-04-20,50,0,0,7,23,8,1
2018-04-21,54,0,0,13,19,10,0
2018-04-22,54,0,0,11,17,15,0
2018-04-23,56,0,0,8,14,13,0
2018-04-24,67,0,1,9,15,12,0
2018-04-25,46,0,3,11,13,16,0
2018-04-26,52,0,0,9,12,12,0
2018-04-27,70,0,0,13,13,8,0
2018-04-28,71,0,0,10,15,22,1
2018-04-29,61,0,1,7,17,12,1
2018-04-30,70,0,0,13,15,14,0
2018-05-01,63,0,0,6,20,5,0
