DATA_OBITO,OUTRAS,COVID - SE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,18,0,0,2,3,9,0
2018-01-02,18,0,0,5,3,6,0
2018-01-03,20,0,0,3,1,4,0
2018-01-04,19,0,0,1,4,6,0
2018-01-05,16,0,0,4,4,7,0
2018-01-06,21,0,1,1,7,2,0
2018-01-07,12,0,0,0,1,4,0
2018-01-08,17,0,0,6,2,12,0
2018-01-09,12,0,0,3,2,7,0
2018-01-10,25,0,0,1,2,3,0
2018-01-11,24,0,0,2,6,4,0
2018-01-12,15,0,0,1,5,8,0
2018-01-13,16,0,0,4,6,6,0
2018-01-14,11,0,0,6,9,6,0
2018-01-15,15,0,0,4,6,1,0
2018-01-16,14,0,1,2,3,5,0
2018-01-17,18,0,0,3,3,7,0
2018-01-18,15,0,0,2,5,4,0
2018-01-19,13,0,0,4,6,7,0
2018-01-20,16,0,1,0,3,3,0
2018-01-21,14,0,0,4,5,3,0
2018-01-22,20,0,0,2,7,3,0
2018-01-23,12,0,0,7,4,2,0
2018-01-24,17,0,0,4,1,3,0
2018-01-25,21,0,0,1,2,4,0
2018-01-26,8,0,0,3,2,9,0
2018-01-27,18,0,0,0,7,5,0
2018-01-28,12,0,0,0,5,7,0
2018-01-29,15,0,0,1,5,5,0
2018-01-30,18,0,2,4,4,6,0
2018-01-31,17,0,0,1,3,7,0
2018-02-01,15,0,0,1,2,2,0
2018-02-02,19,0,1,1,5,2,0
2018-02-03,10,0,1,0,6,8,0
2018-02-04,10,0,0,3,8,4,0
2018-02-05,14,0,0,1,2,2,1
2018-02-06,10,0,0,3,3,4,0
2018-02-07,15,0,0,3,2,9,0
2018-02-08,13,0,0,4,2,4,0
2018-02-09,15,0,0,2,9,7,0
2018-02-10,20,0,1,3,5,2,0
2018-02-11,18,0,0,2,3,4,0
2018-02-12,13,0,0,4,4,5,1
2018-02-13,22,0,0,7,3,4,0
2018-02-14,12,0,1,5,3,2,0
2018-02-15,16,0,0,1,5,3,0
2018-02-16,13,0,0,4,3,3,0
2018-02-17,18,0,1,2,2,4,0
2018-02-18,5,0,0,2,2,3,0
2018-02-19,13,0,0,1,5,5,0
2018-02-20,11,0,0,2,2,5,0
2018-02-21,10,0,0,2,5,6,0
2018-02-22,23,0,1,3,4,2,0
2018-02-23,19,0,1,1,5,6,0
2018-02-24,13,0,1,2,2,4,1
2018-02-25,18,0,0,2,2,7,0
2018-02-26,23,0,0,3,4,11,0
2018-02-27,14,0,0,1,5,5,0
2018-02-28,17,0,0,4,3,11,0
2018-03-01,12,0,0,5,3,8,0
2018-03-02,19,0,0,0,4,3,0
2018-03-03,16,0,0,1,7,3,0
2018-03-04,15,0,0,0,5,9,0
2018-03-05,23,0,0,3,0,9,0
2018-03-06,24,0,0,3,3,2,0
2018-03-07,15,0,0,2,3,3,0
2018-03-08,20,0,0,4,3,3,0
2018-03-09,17,0,0,0,4,7,0
2018-03-10,17,0,0,3,9,5,0
2018-03-11,21,0,0,4,6,5,0
2018-03-12,15,0,0,3,5,3,0
2018-03-13,19,0,1,2,6,7,0
2018-03-14,11,0,0,4,3,6,0
2018-03-15,15,0,0,2,3,9,0
2018-03-16,18,0,0,3,8,6,0
2018-03-17,12,0,0,6,6,1,0
2018-03-18,26,0,2,2,1,9,0
2018-03-19,20,0,0,4,2,5,0
2018-03-20,17,0,0,1,3,8,0
2018-03-21,13,0,0,4,4,5,1
2018-03-22,14,0,1,0,6,10,0
2018-03-23,12,0,0,4,11,5,1
2018-03-24,11,0,0,3,5,4,1
2018-03-25,14,0,0,5,5,4,0
2018-03-26,19,0,0,6,4,7,0
2018-03-27,15,0,0,0,3,9,0
2018-03-28,16,0,0,3,3,3,0
2018-03-29,11,0,0,1,4,6,0
2018-03-30,18,0,0,4,5,3,0
2018-03-31,17,0,0,6,4,7,0
2018-04-01,20,0,0,2,5,5,0
2018-04-02,18,0,1,2,11,6,0
2018-04-03,19,0,0,2,5,4,0
2018-04-04,14,0,0,2,7,7,0
2018-04-05,23,0,0,7,5,6,0
2018-04-06,17,0,0,1,3,4,0
2018-04-07,14,0,1,5,4,7,0
2018-04-08,13,0,0,4,7,4,0
2018-04-09,13,0,1,2,9,6,0
2018-04-10,18,0,1,2,3,11,0
2018-04-11,19,0,0,2,2,3,0
