DATA_OBITO,OUTRAS,COVID - SP,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,443,0,4,63,182,107,3
2018-01-02,405,0,2,64,192,96,2
2018-01-03,409,0,9,63,174,110,1
2018-01-04,388,0,2,64,177,111,0
2018-01-05,377,0,7,61,184,107,0
2018-01-06,406,0,4,64,176,103,0
2018-01-07,363,0,1,65,167,108,0
2018-01-08,369,0,2,49,159,103,1
2018-01-09,378,0,1,67,178,102,1
2018-01-10,376,0,4,59,161,115,1
2018-01-11,398,0,5,68,199,124,0
2018-01-12,370,0,2,68,165,94,0
2018-01-13,419,0,6,69,163,112,0
2018-01-14,405,0,3,46,151,123,0
2018-01-15,397,0,3,67,180,114,2
2018-01-16,358,0,3,90,188,126,1
2018-01-17,373,0,1,61,173,99,2
2018-01-18,394,0,1,69,204,129,0
2018-01-19,420,0,5,74,175,114,1
2018-01-20,403,0,4,66,197,104,1
2018-01-21,430,0,2,57,169,121,0
2018-01-22,434,0,2,74,211,124,1
2018-01-23,437,0,2,74,187,148,0
2018-01-24,414,0,3,80,183,122,0
2018-01-25,397,0,4,64,191,114,1
2018-01-26,388,0,5,82,155,101,2
2018-01-27,395,0,4,59,183,120,1
2018-01-28,409,0,5,70,180,101,0
2018-01-29,434,0,4,64,168,106,0
2018-01-30,346,0,3,50,173,90,1
2018-01-31,414,0,1,60,172,116,0
2018-02-01,407,0,0,61,154,123,1
2018-02-02,404,0,5,62,156,112,1
2018-02-03,387,0,1,60,166,103,1
2018-02-04,384,0,1,57,156,113,0
2018-02-05,410,0,3,55,151,95,0
2018-02-06,403,0,1,61,164,116,0
2018-02-07,383,0,1,72,187,109,0
2018-02-08,373,0,4,63,164,92,0
2018-02-09,412,0,4,71,156,129,1
2018-02-10,446,0,1,83,191,130,2
2018-02-11,375,0,5,59,173,123,0
2018-02-12,377,0,6,73,156,103,0
2018-02-13,398,0,5,70,185,87,1
2018-02-14,369,0,4,64,168,92,0
2018-02-15,391,0,4,67,155,105,0
2018-02-16,389,0,0,50,180,116,0
2018-02-17,384,0,5,56,157,96,2
2018-02-18,406,0,4,74,155,99,0
2018-02-19,406,0,5,50,150,100,1
2018-02-20,420,0,2,47,124,98,0
2018-02-21,360,0,2,71,174,103,1
2018-02-22,392,0,1,65,150,111,0
