DATA_OBITO,OUTRAS,COVID - TO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,6,0,0,1,2,3,1
2018-01-02,9,0,0,1,3,1,0
2018-01-03,15,0,0,2,3,1,0
2018-01-04,8,0,1,0,0,4,0
2018-01-05,5,0,0,1,1,2,0
2018-01-06,7,0,0,1,0,2,0
2018-01-07,10,0,0,0,1,0,0
2018-01-08,7,0,0,2,4,2,0
2018-01-09,11,0,0,2,0,1,0
2018-01-10,7,0,0,0,1,1,0
2018-01-11,8,0,0,0,2,2,0
2018-01-12,6,0,0,1,2,2,0
2018-01-13,4,0,0,0,6,0,0
2018-01-14,8,0,0,1,3,3,0
2018-01-15,7,0,2,0,1,1,0
2018-01-16,7,0,0,1,0,3,0
2018-01-17,10,0,0,1,0,0,0
2018-01-18,9,0,0,0,2,1,0
2018-01-19,7,0,1,1,2,2,0
2018-01-20,5,0,0,0,4,1,0
2018-01-21,8,0,0,0,0,1,0
2018-01-22,4,0,0,2,2,1,0
2018-01-23,5,0,0,1,3,3,0
2018-01-24,4,0,0,3,3,1,0
2018-01-25,8,0,0,1,0,2,0
2018-01-26,9,0,0,1,5,1,0
2018-01-27,12,0,0,1,2,0,0
2018-01-28,5,0,0,1,4,2,0
2018-01-29,4,0,0,1,1,3,0
2018-01-30,7,0,0,2,2,2,0
2018-01-31,11,0,0,3,1,3,0
2018-02-01,10,0,0,2,2,1,0
2018-02-02,4,0,0,3,2,0,0
2018-02-03,7,0,0,1,1,1,0
2018-02-04,9,0,0,2,2,0,0
2018-02-05,10,0,0,1,1,1,0
2018-02-06,10,0,0,0,0,3,0
2018-02-07,7,0,0,0,2,0,0
2018-02-08,12,0,0,0,1,2,0
2018-02-09,6,0,0,1,2,0,0
2018-02-10,9,0,0,4,2,1,0
2018-02-11,7,0,0,1,2,2,0
2018-02-12,6,0,0,0,1,0,0
2018-02-13,7,0,0,0,3,2,0
2018-02-14,6,0,0,0,2,4,0
2018-02-15,4,0,1,1,4,1,0
2018-02-16,8,0,0,0,2,0,0
2018-02-17,7,0,0,2,1,1,0
2018-02-18,9,0,0,0,2,1,0
2018-02-19,9,0,0,3,0,1,1
2018-02-20,9,0,0,1,3,5,0
2018-02-21,6,0,0,3,3,1,0
2018-02-22,8,0,0,0,0,1,0
2018-02-23,4,0,0,1,2,3,0
2018-02-24,4,0,0,0,1,0,0
2018-02-25,11,0,1,1,2,3,0
2018-02-26,7,0,0,1,1,1,0
2018-02-27,6,0,1,0,0,0,1
2018-02-28,11,0,0,1,3,2,0
2018-03-01,6,0,0,0,2,0,0
2018-03-02,8,0,0,0,1,2,0
2018-03-03,7,0,0,1,3,1,1
2018-03-04,7,0,1,1,0,2,0
2018-03-05,6,0,0,0,1,0,0
2018-03-06,12,0,0,0,4,1,0
2018-03-07,5,0,0,1,0,1,0
2018-03-08,11,0,0,2,4,2,0
2018-03-09,14,0,0,0,1,2,0
2018-03-10,11,0,0,0,2,0,0
2018-03-11,7,0,0,1,2,0,0
2018-03-12,7,0,0,1,0,1,0
2018-03-13,4,0,0,0,4,1,0
2018-03-14,8,0,0,1,1,1,0
2018-03-15,6,0,0,1,1,1,0
2018-03-16,8,0,0,0,7,2,0
2018-03-17,8,0,0,3,1,2,0
2018-03-18,4,0,1,0,5,2,0
2018-03-19,9,0,0,0,3,2,0
2018-03-20,9,0,1,1,2,2,0
2018-03-21,9,0,1,2,1,4,0
2018-03-22,8,0,0,1,2,0,0
2018-03-23,8,0,0,1,3,2,0
2018-03-24,3,0,0,1,2,2,0
2018-03-25,7,0,0,0,0,1,0
2018-03-26,7,0,1,2,3,0,0
2018-03-27,8,0,0,0,0,1,0
2018-03-28,2,0,1,0,2,0,0
2018-03-29,7,0,0,2,1,1,0
2018-03-30,7,0,1,1,1,1,0
2018-03-31,6,0,0,1,2,0,0
2018-04-01,4,0,1,0,1,3,0
2018-04-02,8,0,0,2,3,1,0
2018-04-03,10,0,0,1,3,2,0
2018-04-04,2,0,0,3,3,0,0
2018-04-05,8,0,0,1,4,5,0
2018-04-06,6,0,0,0,7,2,0
2018-04-07,7,0,0,1,1,4,0
2018-04-08,9,0,0,1,4,1,0
2018-04-09,4,0,2,2,1,1,0
2018-04-10,6,0,0,1,2,0,0
2018-04-11,8,0,0,0,4,4,0
2018-04-12,4,0,0,0,2,0,0
2018-04-13,7,0,0,0,3,2,0
