DATA_OBITO,OUTRAS,COVID - Brasil,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,1713,0,13,193,418,344,4
2018-01-02,1592,0,9,197,460,339,4
2018-01-03,1570,0,19,202,438,326,3
2018-01-04,1546,0,9,216,437,363,3
2018-01-05,1533,0,15,179,449,347,1
2018-01-06,1545,0,14,173,409,350,1
2018-01-07,1582,0,9,183,405,325,0
2018-01-08,1521,0,6,181,406,340,2
2018-01-09,1477,0,9,182,446,345,1
2018-01-10,1436,0,11,197,400,377,3
2018-01-11,1522,0,13,190,469,366,4
2018-01-12,1509,0,4,198,415,348,2
2018-01-13,1529,0,13,183,419,342,0
2018-01-14,1541,0,12,163,410,333,0
2018-01-15,1581,0,12,201,458,317,3
2018-01-16,1528,0,15,225,436,362,2
2018-01-17,1509,0,6,191,396,334,2
2018-01-18,1514,0,5,218,482,396,0
2018-01-19,1646,0,15,209,429,363,1
2018-01-20,1627,0,11,202,489,363,1
2018-01-21,1595,0,10,195,410,356,4
2018-01-22,1621,0,7,199,464,348,3
2018-01-23,1570,0,5,214,443,372,2
2018-01-24,1596,0,7,220,436,348,0
2018-01-25,1525,0,12,191,450,341,2
2018-01-26,1457,0,10,200,412,331,2
2018-01-27,1542,0,10,191,412,350,3
2018-01-28,1501,0,10,196,407,347,1
2018-01-29,1583,0,9,209,428,358,1
2018-01-30,1449,0,8,177,412,300,2
2018-01-31,1471,0,8,191,399,331,4
2018-02-01,1566,0,5,216,390,358,2
2018-02-02,1565,0,10,213,389,342,3
2018-02-03,1535,0,12,188,385,354,5
2018-02-04,1489,0,11,203,388,338,0
2018-02-05,1548,0,10,183,396,356,4
2018-02-06,1521,0,7,213,432,364,0
2018-02-07,1514,0,4,217,427,337,1
2018-02-08,1493,0,10,181,400,348,1
2018-02-09,1543,0,10,196,389,335,1
2018-02-10,1620,0,11,223,459,355,3
2018-02-11,1570,0,11,175,411,369,1
2018-02-12,1569,0,13,201,409,328,1
2018-02-13,1570,0,13,207,442,343,1
2018-02-14,1506,0,11,180,387,340,1
2018-02-15,1536,0,9,173,375,321,1
2018-02-16,1541,0,1,185,432,361,2
2018-02-17,1552,0,18,191,418,320,3
2018-02-18,1517,0,11,203,401,334,0
2018-02-19,1579,0,14,199,392,334,4
2018-02-20,1584,0,8,193,358,350,2
2018-02-21,1456,0,7,223,436,314,3
2018-02-22,1501,0,10,178,396,361,1
2018-02-23,1524,0,8,190,404,386,2
2018-02-24,1644,0,8,196,419,323,4
2018-02-25,1568,0,16,178,439,358,0
2018-02-26,1623,0,18,176,405,355,2
2018-02-27,1571,0,12,191,385,335,1
2018-02-28,1567,0,13,213,437,382,2
2018-03-01,1612,0,20,213,432,415,1
2018-03-02,1609,0,7,218,467,396,4
2018-03-03,1641,0,22,211,474,385,7
2018-03-04,1597,0,17,213,474,384,2
2018-03-05,1614,0,14,246,434,374,2
2018-03-06,1694,0,11,213,499,403,1
2018-03-07,1648,0,15,215,432,416,1
2018-03-08,1628,0,10,189,481,364,3
2018-03-09,1637,0,9,178,429,339,1
2018-03-10,1807,0,6,200,464,357,0
2018-03-11,1666,0,11,226,442,361,0
2018-03-12,1724,0,15,228,495,371,0
2018-03-13,1703,0,10,212,477,393,1
2018-03-14,1671,0,8,254,482,365,2
2018-03-15,1654,0,10,217,504,385,2
2018-03-16,1692,0,5,190,516,408,2
2018-03-17,1644,0,16,253,475,374,4
2018-03-18,1672,0,19,235,522,387,3
2018-03-19,1746,0,10,223,494,390,3
2018-03-20,1652,0,13,214,514,388,1
2018-03-21,1625,0,14,227,483,376,3
2018-03-22,1597,0,12,228,456,364,1
2018-03-23,1668,0,3,208,502,366,3
2018-03-24,1637,0,13,217,499,423,3
2018-03-25,1736,0,8,198,528,359,1
2018-03-26,1595,0,11,230,414,373,1
2018-03-27,1609,0,14,204,479,393,1
2018-03-28,1635,0,12,211,459,399,2
2018-03-29,1526,0,8,196,477,369,3
2018-03-30,1654,0,12,230,474,362,6
2018-03-31,1623,0,12,227,478,391,1
2018-04-01,1679,0,13,206,474,358,3
2018-04-02,1711,0,11,220,474,334,6
2018-04-03,1691,0,12,203,470,350,3
2018-04-04,1721,0,16,236,485,397,2
2018-04-05,1667,0,17,232,461,362,2
2018-04-06,1679,0,11,235,447,369,3
2018-04-07,1686,0,14,212,492,410,1
2018-04-08,1677,0,15,201,472,363,1
2018-04-09,1717,0,9,227,528,395,3
2018-04-10,1632,0,13,237,522,411,3
2018-04-11,1631,0,9,229,448,385,5
2018-04-12,1666,0,13,213,475,408,4
2018-04-13,1675,0,14,229,508,395,4
2018-04-14,1697,0,8,202,513,410,4
2018-04-15,1678,0,12,201,476,385,4
2018-04-16,1688,0,11,216,459,366,4
2018-04-17,1665,0,20,201,495,404,1
2018-04-18,1708,0,12,204,496,385,5
2018-04-19,1732,0,9,228,489,381,5
2018-04-20,1666,0,13,226,489,399,5
2018-04-21,1712,0,13,220,510,390,5
2018-04-22,1716,0,16,241,494,407,4
2018-04-23,1709,0,12,235,544,379,4
2018-04-24,1673,0,10,245,512,371,2
2018-04-25,1787,0,12,247,493,407,5
2018-04-26,1700,0,15,249,494,409,1
2018-04-27,1760,0,10,231,496,368,2
2018-04-28,1704,0,14,226,587,393,2
2018-04-29,1737,0,14,198,560,372,5
2018-04-30,1678,0,12,202,560,409,1
2018-05-01,1655,0,10,222,518,354,4
2018-05-02,1660,0,10,233,544,375,5
2018-05-03,1652,0,19,233,539,400,4
2018-05-04,1802,0,12,233,526,397,2
2018-05-05,1795,0,16,240,512,367,4
2018-05-06,1728,0,8,199,539,408,4
2018-05-07,1799,0,12,256,551,363,4
2018-05-08,1613,0,10,231,526,378,2
2018-05-09,1721,0,10,234,504,414,4
2018-05-10,1699,0,15,235,528,350,5
2018-05-11,1897,0,11,250,521,381,3
2018-05-12,1826,0,11,240,550,381,5
2018-05-13,1796,0,13,222,579,364,7
2018-05-14,1747,0,16,239,553,392,3
2018-05-15,1813,0,12,248,540,366,4
2018-05-16,1730,0,12,227,565,414,3
2018-05-17,1749,0,10,247,519,419,0
2018-05-18,1778,0,13,224,590,373,3
2018-05-19,1702,0,19,191,530,349,1
2018-05-20,1822,0,21,227,526,379,6
2018-05-21,1857,0,17,249,526,396,1
2018-05-22,1840,0,12,240,624,432,3
2018-05-23,1800,0,9,230,565,379,3
2018-05-24,1843,0,12,242,593,415,3
2018-05-25,1810,0,14,236,591,400,4
2018-05-26,1790,0,18,221,558,355,9
2018-05-27,1835,0,12,227,569,414,2
2018-05-28,1790,0,13,215,574,382,4
2018-05-29,1789,0,13,250,623,391,2
2018-05-30,1765,0,18,238,582,388,7
2018-05-31,1851,0,8,246,593,378,6
2018-06-01,1904,0,4,230,610,400,2
2018-06-02,1830,0,18,225,634,402,9
2018-06-03,1928,0,11,228,621,377,4
2018-06-04,1880,0,10,250,555,380,4
2018-06-05,1789,0,15,258,563,397,4
2018-06-06,1912,0,13,236,604,407,2
2018-06-07,1883,0,15,262,622,404,3
2018-06-08,1899,0,9,243,593,345,3
2018-06-09,1888,0,10,229,602,393,7
2018-06-10,1945,0,16,247,591,372,4
2018-06-11,1962,0,14,267,647,402,1
2018-06-12,1882,0,16,221,655,405,6
2018-06-13,1868,0,12,229,649,349,2
2018-06-14,1734,0,11,243,626,369,3
2018-06-15,1848,0,11,241,596,404,6
2018-06-16,1875,0,13,233,624,364,3
2018-06-17,1795,0,19,224,615,383,4
2018-06-18,1845,0,9,241,632,373,4
2018-06-19,1831,0,9,257,654,421,4
2018-06-20,1837,0,10,226,614,379,4
2018-06-21,1838,0,13,242,595,393,4
2018-06-22,1868,0,16,252,613,387,4
2018-06-23,1912,0,10,257,603,386,8
2018-06-24,1874,0,13,237,661,391,2
2018-06-25,1959,0,9,244,535,403,2
2018-06-26,1807,0,18,219,579,384,6
2018-06-27,1805,0,16,268,650,407,5
2018-06-28,1799,0,11,270,587,388,6
2018-06-29,1834,0,11,228,608,339,6
2018-06-30,1872,0,13,225,615,405,4
2018-07-01,1878,0,26,234,577,382,2
2018-07-02,1932,0,20,260,640,385,5
2018-07-03,1889,0,18,245,558,371,6
2018-07-04,1862,0,23,253,587,381,7
2018-07-05,1890,0,19,242,630,424,7
2018-07-06,1909,0,13,238,574,384,7
2018-07-07,1834,0,18,249,594,418,5
2018-07-08,1948,0,17,217,624,384,11
2018-07-09,1890,0,16,244,584,383,4
2018-07-10,1796,0,14,227,566,351,4
2018-07-11,1889,0,14,246,580,396,5
2018-07-12,1884,0,14,273,648,392,2
2018-07-13,2031,0,23,231,618,424,3
2018-07-14,2006,0,18,244,646,435,6
2018-07-15,2074,0,14,251,650,438,3
2018-07-16,2016,0,13,236,642,389,5
2018-07-17,1957,0,18,275,596,392,6
2018-07-18,1907,0,15,273,610,379,6
2018-07-19,1821,0,11,247,660,437,2
2018-07-20,1938,0,12,251,630,402,2
2018-07-21,1827,0,15,232,614,409,4
2018-07-22,1809,0,19,235,587,389,5
2018-07-23,1827,0,24,241,599,389,4
2018-07-24,1846,0,17,247,587,396,6
2018-07-25,1786,0,11,225,587,388,5
2018-07-26,1828,0,12,251,556,387,3
2018-07-27,1808,0,12,232,555,392,2
2018-07-28,1839,0,20,240,566,379,7
2018-07-29,1879,0,18,238,560,363,2
2018-07-30,1947,0,11,230,564,362,6
2018-07-31,1839,0,8,241,569,384,3
2018-08-01,1837,0,19,255,533,421,4
2018-08-02,1867,0,12,228,589,417,2
2018-08-03,1859,0,10,239,577,394,5
